design,id,cost,closnesscentrality,betweenesscentrality,modularity_class,outdegree
33689,423,71.76,0.994023904,8.554064037,2,496
33782,424,129.17,0.94686907,7.648883017,2,471
33819,425,89.7,0.982283465,8.129486189,2,490
33858,426,52.992,0.974609375,6.792133032,2,486
33878,427,79.488,0.959615385,6.247270019,2,478
34084,428,87.834,1,7.590628435,2,499
34107,429,73.195,1,8.182919063,2,499
34170,430,109.79,0.992047714,7.931600813,2,495
34490,431,45.043,0.996007984,8.0357893,2,497
34539,432,73.195,0.998,8.10539432,2,498
34637,433,67.565,0.994023904,8.153206962,2,496
34640,434,81.078,0.984220907,7.277017341,2,491
34835,435,73.195,0.998,7.334857172,2,498
34995,436,91.494,0.990079365,8.832894111,2,494
35097,437,73.195,1,7.438849755,2,499
35258,438,87.834,0.996007984,8.672880223,2,497
35637,439,54.052,0.936210131,6.750332898,2,465
35662,440,45.043,1,7.275141834,2,499
35911,441,109.79,1,7.745832916,2,499
35935,442,91.494,1,8.743747847,2,499
36087,443,131.75,0.974609375,7.991827438,2,486
36178,444,131.75,0.968932039,7.716680534,2,483
36313,445,91.494,0.961464355,8.287701304,2,479
36368,446,81.078,0.917279412,6.016000462,2,454
36548,447,45.043,0.994023904,7.61629775,2,496
36549,448,56.304,1,8.061438527,2,499
36924,449,58.556,0.990079365,8.559620429,2,494
37033,450,67.565,0.967054264,7.858654525,2,482
37074,451,81.078,0.924074074,6.855861266,2,458
37115,452,91.494,0.952290076,8.123697793,2,474
37122,453,67.565,0.910583942,6.81297902,2,450
37159,454,87.834,0.967054264,7.744456087,2,482
37180,455,67.565,0.930970149,6.482488447,2,462
37358,456,44.16,0.994023904,7.596637961,2,496
37467,457,107.64,0.968932039,8.181847615,2,483
37469,458,44.16,0.994023904,7.650555285,2,496
37470,459,52.992,0.996007984,7.606218423,2,497
37567,460,66.24,0.978431373,7.043826296,2,488
37578,461,107.64,0.963320463,8.013618544,2,480
37627,462,66.24,0.941509434,6.721852515,2,468
37636,463,79.488,0.982283465,7.124268668,2,490
37756,464,44.16,0.998,7.354171616,2,498
37881,465,55.2,0.988118812,8.62059734,2,493
38105,466,107.64,0.95047619,7.736319244,2,473
38122,467,55.2,0.990079365,7.893221701,2,494
38127,468,86.112,0.986166008,8.187466165,2,492
38316,469,55.2,0.994023904,7.311184941,2,496
38317,470,66.24,0.980353635,6.993411795,2,489
38522,471,89.7,0.968932039,8.269856216,2,483
38647,472,107.64,0.857388316,5.279286515,1,416
38675,473,79.488,0.756060606,3.777926824,1,338
38711,474,107.64,0.992047714,7.993176997,2,495
38759,475,129.17,0.954110899,7.920900568,2,475
38775,476,66.24,0.994023904,7.934528182,2,496
38982,477,129.17,0.945075758,7.312584926,2,470
39040,478,79.488,0.792063492,4.196072369,1,368
39224,479,81.078,0.996007984,7.935315551,2,497
39267,480,36.035,0.996007984,8.01009997,2,497
39281,481,131.75,0.974609375,8.056319311,2,486
39288,482,109.79,0.978431373,8.569247709,2,488
39354,483,67.565,0.959615385,7.917421524,2,478
39362,484,45.043,0.998,8.442243625,2,498
39373,485,45.043,0.992047714,8.21812779,2,495
39461,486,131.75,0.936210131,7.541977179,2,465
39510,487,67.565,0.95047619,6.847422409,2,473
39584,488,54.052,0.948669202,7.148154155,2,472
39738,489,45.043,0.992047714,8.202643399,2,495
39818,490,131.75,0.913919414,7.363740101,2,452
39915,491,56.304,0.988118812,8.215908419,2,493
40149,492,67.565,0.992047714,8.265523702,2,495
40193,493,56.304,1,8.318017119,2,499
40271,494,81.078,0.965183752,7.218573415,2,481
40313,495,56.304,0.952290076,7.602494244,2,474
40329,496,109.79,0.892665474,7.038428239,2,439
40370,497,56.304,0.982283465,8.068800379,2,490
40531,498,67.565,0.842905405,5.246017873,1,406
40865,499,81.078,0.948669202,7.261605382,2,472
40986,500,131.75,0.831666667,4.929362658,1,398
