design_id,L,B,D,Crane,POB,Power,LWI,MP,Fuel,ROV,DP,PC,DFC,eco_friend,cost,closnesscentrality,betweenesscentrality,modularity_class,outdegree,fpn1,fpn2,fpn3,fpn4,fpn5,fpn6,fpn7,fpn8,fpn9,fpn10,fpn11,fpn12,fpn13,fpn14,fpn15,fpn16,fpn17,fpn18,fpn19,fpn20,fpn21,fpn22,fpn23,fpn24,fpn25,fpn26,fpn27,fpn28,fpn29,fpn30,fpn31,fpn32,fpn33,fpn34,fpn35,fpn36,fpn37,fpn38,fpn39,fpn40,fpn41,fpn42,fpn43,fpn44,fpn45,fpn46,fpn47,fpn48,fpn49,fpn50,fpn51,fpn52,fpn53,fpn54,fpn55,fpn56,fpn57,fpn58,fpn59,fpn60,fpn61,fpn62,fpn63,fpn64,fpn65,fpn66,fpn67,fpn68,fpn69,fpn70,fpn71,fpn72,fpn73,fpn74,fpn75,fpn76,fpn77,fpn78,fpn79,fpn80,fpn81,fpn82,fpn83,fpn84,fpn85,fpn86,fpn87,fpn88,fpn89,fpn90,fpn91,fpn92,fpn93,fpn94,fpn95,fpn96
20273,150,30,13,800,400,25000,0,1,1,1,1,1,1,6.0075,306.98,0.942,7.799,2,468,101,101,101,101,101,101,101,101,101,101,101,101,20.158,20.158,20.158,20.158,14.703,14.703,14.703,14.703,14.703,14.703,14.703,14.703,20.158,20.158,20.158,20.158,20.158,20.158,20.158,20.158,20.158,20.158,20.158,20.158,101,101,101,101,20.158,20.158,20.158,20.158,20.158,20.158,20.158,20.158,101,101,101,101,101,101,101,101,101,101,101,101,20.158,20.158,20.158,20.158,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,20.158,20.158,20.158,20.158
20445,180,25,8,400,250,15000,600,1,1,1,1,1,1,7.0753,285.28,0.938,6.812,2,466,101,101,101,101,6.394,6.394,6.394,6.394,101,101,101,101,6.394,6.394,6.394,6.394,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,6.394,6.394,6.394,6.394,6.394,6.394,6.394,6.394,6.394,6.394,6.394,6.394,6.394,6.394,6.394,6.394,6.394,6.394,6.394,6.394,6.394,6.394,6.394,6.394,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,6.394,6.394,6.394,6.394
20513,120,20,8,0,50,15000,0,0,0,0,0,0,2,5,88.893,1,4.073,1,499,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,0.089,0.089,0.089,0.089,0.092,0.092,0.092,0.092,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,0.09,0.09,0.09,0.09,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
20531,120,20,8,400,50,15000,0,0,0,0,0,0,2,4.5688,98.309,0.998,5.272,1,498,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,0.535,0.535,0.535,0.535,0.555,0.555,0.555,0.555,0.091,0.091,0.091,0.091,0.093,0.093,0.093,0.093,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,0.541,0.541,0.541,0.541,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
20756,180,30,8,400,400,25000,0,0,0,0,0,0,2,2.8956,183.28,1,7.629,0,499,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,10.728,10.728,10.728,10.728,11.145,11.145,11.145,11.145,9.57,9.57,9.57,9.57,9.821,9.821,9.821,9.821,101,101,101,101,10.812,10.812,10.812,10.812,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,10.864,10.864,10.864,10.864,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
20834,150,30,13,0,250,15000,0,1,0,0,0,0,2,1.8037,169.48,1,6.546,0,499,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,11.244,11.244,11.244,11.244,11.681,11.681,11.681,11.681,101,101,101,101,101,101,101,101,101,101,101,101,11.379,11.379,11.379,11.379,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,11.386,11.386,11.386,11.386,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
20861,180,30,13,800,250,15000,0,1,0,0,0,0,2,0.78726,211.34,0.998,8.444,2,498,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,16.038,16.038,16.038,16.038,16.662,16.662,16.662,16.662,14.974,14.974,14.974,14.974,15.368,15.368,15.368,15.368,101,101,101,101,16.493,16.493,16.493,16.493,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,16.241,16.241,16.241,16.241,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
20954,180,25,8,0,250,25000,0,1,0,0,0,0,2,3.2386,157.28,0.998,6.759,0,498,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,8.164,8.164,8.164,8.164,8.482,8.482,8.482,8.482,101,101,101,101,101,101,101,101,101,101,101,101,8.093,8.093,8.093,8.093,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,8.267,8.267,8.267,8.267,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
21056,120,30,13,400,50,15000,300,1,0,0,0,0,2,1.5467,194.38,1,7.743,0,499,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,16.194,16.194,16.194,16.194,16.823,16.823,16.823,16.823,15.171,15.171,15.171,15.171,15.57,15.57,15.57,15.57,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,16.398,16.398,16.398,16.398,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
21253,180,30,13,800,250,15000,600,1,0,0,0,0,2,0.29241,294.8,0.977,8.464,2,487,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,28.708,28.708,28.708,28.708,29.824,29.824,29.824,29.824,27.994,27.994,27.994,27.994,28.73,28.73,28.73,28.73,101,101,101,101,29.866,29.866,29.866,29.866,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,29.07,29.07,29.07,29.07,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
21275,120,30,8,0,50,25000,600,1,0,0,0,0,2,2.7089,223.35,0.994,7.291,0,496,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,19.9,19.9,19.9,19.9,20.673,20.673,20.673,20.673,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,20.151,20.151,20.151,20.151,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
21379,180,25,8,0,250,15000,0,0,1,0,0,0,2,8.7569,149.25,1,6.498,1,499,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,101,101,101,101,101,101,101,101,101,101,101,101,0.05,0.05,0.05,0.05,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,0.05,0.05,0.05,0.05,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
21400,180,30,8,400,250,15000,0,0,1,0,0,0,2,8.0152,172.85,1,7.419,0,499,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,101,101,101,101,0.05,0.05,0.05,0.05,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,0.05,0.05,0.05,0.05,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
21615,180,30,8,400,50,15000,0,1,1,0,0,0,2,7.6533,169.64,1,6.879,0,499,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,6.394,6.394,6.394,6.394,6.394,6.394,6.394,6.394,5.795,5.795,5.795,5.795,5.895,5.895,5.895,5.895,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,6.394,6.394,6.394,6.394,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
21626,120,30,8,800,50,15000,0,1,1,0,0,0,2,7.8425,150.7,1,6.669,1,499,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,6.867,6.867,6.867,6.867,7.134,7.134,7.134,7.134,5.584,5.584,5.584,5.584,5.731,5.731,5.731,5.731,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,6.954,6.954,6.954,6.954,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
21683,180,25,8,0,400,15000,0,1,1,0,0,0,2,8.1079,151.66,1,6.61,1,499,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,3.997,3.997,3.997,3.997,4.196,4.196,4.196,4.196,101,101,101,101,101,101,101,101,101,101,101,101,3.797,3.797,3.797,3.797,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,4.096,4.096,4.096,4.096,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
21775,150,20,13,0,250,25000,0,1,1,0,0,0,2,7.9955,203.31,1,8.201,0,499,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,12,12,12,12,12.467,12.467,12.467,12.467,101,101,101,101,101,101,101,101,101,101,101,101,12.139,12.139,12.139,12.139,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,12.152,12.152,12.152,12.152,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
21778,150,25,13,0,250,25000,0,1,1,0,0,0,2,7.372,222.51,1,8.469,0,499,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,15.276,15.276,15.276,15.276,15.906,15.906,15.906,15.906,101,101,101,101,101,101,101,101,101,101,101,101,15.669,15.669,15.669,15.669,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,15.512,15.512,15.512,15.512,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
21797,180,30,13,400,250,25000,0,1,1,0,0,0,2,6.0001,274.15,0.996,8.833,2,497,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,6.394,6.394,6.394,6.394,6.394,6.394,6.394,6.394,6.394,6.394,6.394,6.394,6.394,6.394,6.394,6.394,101,101,101,101,6.394,6.394,6.394,6.394,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,6.394,6.394,6.394,6.394,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
21859,120,25,13,0,50,15000,300,1,1,0,0,0,2,7.3525,193.68,1,8.043,0,499,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,12.156,12.156,12.156,12.156,12.628,12.628,12.628,12.628,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,12.309,12.309,12.309,12.309,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
22085,150,30,8,800,400,15000,600,1,1,0,0,0,2,6.8836,253.95,0.973,7.375,2,485,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,19.528,19.528,19.528,19.528,20.158,20.158,20.158,20.158,18.661,18.661,18.661,18.661,19.134,19.134,19.134,19.134,101,101,101,101,20.158,20.158,20.158,20.158,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,19.843,19.843,19.843,19.843,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
