fpn	fnpt	value
0	0	41024
0	0.05	12
0	0.1	2
0	0.15	0
0	0.2	0
0	0.25	0
0	0.3	0
0	0.35	0
0	0.4	0
0	0.45	0
0	0.5	0
0	0.55	0
0	0.6	0
0	0.65	0
0	0.7	0
0	0.75	0
0	0.8	0
0	0.85	0
0	0.9	0
0	0.95	0
0	1	0
2.5	0	41024
2.5	0.05	598
2.5	0.1	283
2.5	0.15	110
2.5	0.2	43
2.5	0.25	3
2.5	0.3	0
2.5	0.35	0
2.5	0.4	0
2.5	0.45	0
2.5	0.5	0
2.5	0.55	0
2.5	0.6	0
2.5	0.65	0
2.5	0.7	0
2.5	0.75	0
2.5	0.8	0
2.5	0.85	0
2.5	0.9	0
2.5	0.95	0
2.5	1	0
5	0	41024
5	0.05	2199
5	0.1	1492
5	0.15	795
5	0.2	436
5	0.25	134
5	0.3	0
5	0.35	0
5	0.4	0
5	0.45	0
5	0.5	0
5	0.55	0
5	0.6	0
5	0.65	0
5	0.7	0
5	0.75	0
5	0.8	0
5	0.85	0
5	0.9	0
5	0.95	0
5	1	0
7.5	0	41024
7.5	0.05	4234
7.5	0.1	3460
7.5	0.15	2417
7.5	0.2	1636
7.5	0.25	861
7.5	0.3	87
7.5	0.35	45
7.5	0.4	13
7.5	0.45	4
7.5	0.5	0
7.5	0.55	0
7.5	0.6	0
7.5	0.65	0
7.5	0.7	0
7.5	0.75	0
7.5	0.8	0
7.5	0.85	0
7.5	0.9	0
7.5	0.95	0
7.5	1	0
10	0	41024
10	0.05	6985
10	0.1	5836
10	0.15	4157
10	0.2	2998
10	0.25	1827
10	0.3	390
10	0.35	210
10	0.4	129
10	0.45	102
10	0.5	54
10	0.55	0
10	0.6	0
10	0.65	0
10	0.7	0
10	0.75	0
10	0.8	0
10	0.85	0
10	0.9	0
10	0.95	0
10	1	0
12.5	0	41024
12.5	0.05	10608
12.5	0.1	9161
12.5	0.15	6746
12.5	0.2	4725
12.5	0.25	2890
12.5	0.3	720
12.5	0.35	362
12.5	0.4	264
12.5	0.45	229
12.5	0.5	150
12.5	0.55	24
12.5	0.6	0
12.5	0.65	0
12.5	0.7	0
12.5	0.75	0
12.5	0.8	0
12.5	0.85	0
12.5	0.9	0
12.5	0.95	0
12.5	1	0
15	0	41024
15	0.05	14297
15	0.1	12798
15	0.15	9858
15	0.2	7330
15	0.25	4630
15	0.3	1238
15	0.35	592
15	0.4	440
15	0.45	359
15	0.5	250
15	0.55	70
15	0.6	16
15	0.65	0
15	0.7	0
15	0.75	0
15	0.8	0
15	0.85	0
15	0.9	0
15	0.95	0
15	1	0
17.5	0	41024
17.5	0.05	18342
17.5	0.1	16633
17.5	0.15	13020
17.5	0.2	9709
17.5	0.25	6440
17.5	0.3	1862
17.5	0.35	916
17.5	0.4	732
17.5	0.45	621
17.5	0.5	438
17.5	0.55	106
17.5	0.6	21
17.5	0.65	0
17.5	0.7	0
17.5	0.75	0
17.5	0.8	0
17.5	0.85	0
17.5	0.9	0
17.5	0.95	0
17.5	1	0
20	0	41024
20	0.05	22149
20	0.1	20374
20	0.15	16103
20	0.2	12079
20	0.25	8146
20	0.3	2545
20	0.35	1277
20	0.4	988
20	0.45	867
20	0.5	676
20	0.55	215
20	0.6	86
20	0.65	11
20	0.7	9
20	0.75	4
20	0.8	0
20	0.85	0
20	0.9	0
20	0.95	0
20	1	0
22.5	0	41024
22.5	0.05	25961
22.5	0.1	24088
22.5	0.15	19560
22.5	0.2	14858
22.5	0.25	10069
22.5	0.3	3173
22.5	0.35	1581
22.5	0.4	1246
22.5	0.45	1073
22.5	0.5	850
22.5	0.55	270
22.5	0.6	132
22.5	0.65	38
22.5	0.7	16
22.5	0.75	8
22.5	0.8	0
22.5	0.85	0
22.5	0.9	0
22.5	0.95	0
22.5	1	0
25	0	41024
25	0.05	29317
25	0.1	27254
25	0.15	22280
25	0.2	17143
25	0.25	11830
25	0.3	3899
25	0.35	1968
25	0.4	1566
25	0.45	1390
25	0.5	1155
25	0.55	429
25	0.6	234
25	0.65	74
25	0.7	25
25	0.75	19
25	0.8	0
25	0.85	0
25	0.9	0
25	0.95	0
25	1	0
27.5	0	41024
27.5	0.05	32168
27.5	0.1	30153
27.5	0.15	24795
27.5	0.2	19235
27.5	0.25	13353
27.5	0.3	4468
27.5	0.35	2283
27.5	0.4	1827
27.5	0.45	1586
27.5	0.5	1347
27.5	0.55	543
27.5	0.6	328
27.5	0.65	138
27.5	0.7	58
27.5	0.75	36
27.5	0.8	0
27.5	0.85	0
27.5	0.9	0
27.5	0.95	0
27.5	1	0
30	0	41024
30	0.05	34446
30	0.1	32476
30	0.15	26969
30	0.2	21034
30	0.25	14726
30	0.3	5044
30	0.35	2580
30	0.4	2088
30	0.45	1797
30	0.5	1543
30	0.55	668
30	0.6	393
30	0.65	175
30	0.7	87
30	0.75	55
30	0.8	0
30	0.85	0
30	0.9	0
30	0.95	0
30	1	0
32.5	0	41024
32.5	0.05	36110
32.5	0.1	34140
32.5	0.15	28499
32.5	0.2	22394
32.5	0.25	15770
32.5	0.3	5547
32.5	0.35	2830
32.5	0.4	2292
32.5	0.45	1984
32.5	0.5	1741
32.5	0.55	813
