fpn	fnpt	value
32.5	0.6	496
32.5	0.65	253
32.5	0.7	133
32.5	0.75	79
32.5	0.8	2
32.5	0.85	0
32.5	0.9	0
32.5	0.95	0
32.5	1	0
35	0	41024
35	0.05	37315
35	0.1	35348
35	0.15	29587
35	0.2	23460
35	0.25	16571
35	0.3	5921
35	0.35	3036
35	0.4	2440
35	0.45	2129
35	0.5	1892
35	0.55	923
35	0.6	593
35	0.65	326
35	0.7	168
35	0.75	109
35	0.8	8
35	0.85	0
35	0.9	0
35	0.95	0
35	1	0
37.5	0	41024
37.5	0.05	38138
37.5	0.1	36285
37.5	0.15	30441
37.5	0.2	24198
37.5	0.25	17166
37.5	0.3	6186
37.5	0.35	3213
37.5	0.4	2564
37.5	0.45	2216
37.5	0.5	1979
37.5	0.55	1007
37.5	0.6	665
37.5	0.65	374
37.5	0.7	205
37.5	0.75	131
37.5	0.8	9
37.5	0.85	0
37.5	0.9	0
37.5	0.95	0
37.5	1	0
40	0	41024
40	0.05	38700
40	0.1	36877
40	0.15	31076
40	0.2	24852
40	0.25	17732
40	0.3	6492
40	0.35	3353
40	0.4	2681
40	0.45	2307
40	0.5	2051
40	0.55	1097
40	0.6	738
40	0.65	442
40	0.7	245
40	0.75	161
40	0.8	13
40	0.85	4
40	0.9	0
40	0.95	0
40	1	0
42.5	0	41024
42.5	0.05	39082
42.5	0.1	37240
42.5	0.15	31412
42.5	0.2	25207
42.5	0.25	18082
42.5	0.3	6713
42.5	0.35	3484
42.5	0.4	2772
42.5	0.45	2372
42.5	0.5	2142
42.5	0.55	1152
42.5	0.6	787
42.5	0.65	500
42.5	0.7	291
42.5	0.75	192
42.5	0.8	17
42.5	0.85	8
42.5	0.9	0
42.5	0.95	0
42.5	1	0
45	0	41024
45	0.05	39284
45	0.1	37487
45	0.15	31688
45	0.2	25485
45	0.25	18352
45	0.3	6863
45	0.35	3563
45	0.4	2826
45	0.45	2406
45	0.5	2170
45	0.55	1191
45	0.6	827
45	0.65	542
45	0.7	321
45	0.75	226
45	0.8	20
45	0.85	8
45	0.9	0
45	0.95	0
45	1	0
47.5	0	41024
47.5	0.05	39369
47.5	0.1	37610
47.5	0.15	31829
47.5	0.2	25682
47.5	0.25	18518
47.5	0.3	6990
47.5	0.35	3609
47.5	0.4	2867
47.5	0.45	2431
47.5	0.5	2193
47.5	0.55	1224
47.5	0.6	883
47.5	0.65	569
47.5	0.7	347
47.5	0.75	249
47.5	0.8	24
47.5	0.85	12
47.5	0.9	0
47.5	0.95	0
47.5	1	0
50	0	41024
50	0.05	39388
50	0.1	37640
50	0.15	31873
50	0.2	25774
50	0.25	18602
50	0.3	7070
50	0.35	3638
50	0.4	2896
50	0.45	2449
50	0.5	2205
50	0.55	1251
50	0.6	897
50	0.65	588
50	0.7	371
50	0.75	263
50	0.8	37
50	0.85	15
50	0.9	0
50	0.95	0
50	1	0
52.5	0	41024
52.5	0.05	39402
52.5	0.1	37643
52.5	0.15	31880
52.5	0.2	25798
52.5	0.25	18646
52.5	0.3	7116
52.5	0.35	3652
52.5	0.4	2918
52.5	0.45	2455
52.5	0.5	2218
52.5	0.55	1272
52.5	0.6	905
52.5	0.65	593
52.5	0.7	390
52.5	0.75	276
52.5	0.8	42
52.5	0.85	22
52.5	0.9	0
52.5	0.95	0
52.5	1	0
55	0	41024
55	0.05	39412
55	0.1	37646
55	0.15	31883
55	0.2	25824
55	0.25	18672
55	0.3	7143
55	0.35	3660
55	0.4	2928
55	0.45	2456
55	0.5	2222
55	0.55	1290
55	0.6	912
55	0.65	596
55	0.7	393
55	0.75	280
55	0.8	47
55	0.85	24
55	0.9	0
55	0.95	0
55	1	0
57.5	0	41024
57.5	0.05	39424
57.5	0.1	37648
57.5	0.15	31886
57.5	0.2	25852
57.5	0.25	18693
57.5	0.3	7155
57.5	0.35	3678
57.5	0.4	2940
57.5	0.45	2459
57.5	0.5	2224
57.5	0.55	1296
57.5	0.6	916
57.5	0.65	599
57.5	0.7	400
57.5	0.75	284
57.5	0.8	48
57.5	0.85	24
57.5	0.9	0
57.5	0.95	0
57.5	1	0
60	0	41024
60	0.05	39424
60	0.1	37648
60	0.15	31888
60	0.2	25852
60	0.25	18718
60	0.3	7184
60	0.35	3688
60	0.4	2944
60	0.45	2468
60	0.5	2224
60	0.55	1299
60	0.6	926
60	0.65	608
60	0.7	402
60	0.75	286
60	0.8	48
60	0.85	28
60	0.9	0
60	0.95	0
60	1	0
62.5	0	41024
62.5	0.05	39424
62.5	0.1	37648
62.5	0.15	31900
62.5	0.2	25852
62.5	0.25	18752
62.5	0.3	7202
62.5	0.35	3696
62.5	0.4	2944
62.5	0.45	2472
62.5	0.5	2224
62.5	0.55	1305
62.5	0.6	928
62.5	0.65	608
62.5	0.7	408
62.5	0.75	292
62.5	0.8	48
62.5	0.85	32
62.5	0.9	0
62.5	0.95	0
62.5	1	0
65	0	41024
65	0.05	39424
65	0.1	37648
65	0.15	31900
65	0.2	25856
65	0.25	18760
65	0.3	7224
65	0.35	3696
65	0.4	2944
65	0.45	2480
65	0.5	2224
65	0.55	1312
65	0.6	930
65	0.65	608
65	0.7	409
65	0.75	296
65	0.8	48
65	0.85	32
65	0.9	0
65	0.95	0
65	1	0
67.5	0	41024
67.5	0.05	39424
67.5	0.1	37648
67.5	0.15	31900
67.5	0.2	25856
67.5	0.25	18779
67.5	0.3	7240
67.5	0.35	3696
67.5	0.4	2956
67.5	0.45	2480
67.5	0.5	2224
67.5	0.55	1312
67.5	0.6	936
67.5	0.65	608
67.5	0.7	412
67.5	0.75	304
67.5	0.8	50
67.5	0.85	32
67.5	0.9	0
67.5	0.95	0
67.5	1	0
70	0	41024
70	0.05	39424
70	0.1	37648
70	0.15	31903
70	0.2	25856
70	0.25	18780
70	0.3	7268
70	0.35	3696
70	0.4	2956
70	0.45	2480
70	0.5	2224
70	0.55	1324
70	0.6	944
70	0.65	608
70	0.7	416
70	0.75	304
70	0.8	56
70	0.85	32
70	0.9	0
70	0.95	0
70	1	0
72.5	0	41024
72.5	0.05	39424
72.5	0.1	37648
72.5	0.15	31904
72.5	0.2	25856
72.5	0.25	18784
72.5	0.3	7288
72.5	0.35	3696
72.5	0.4	2956
72.5	0.45	2480
72.5	0.5	2224
72.5	0.55	1324
72.5	0.6	944
72.5	0.65	608
72.5	0.7	416
72.5	0.75	304
72.5	0.8	64
72.5	0.85	32
72.5	0.9	0
72.5	0.95	0
72.5	1	0
75	0	41024
75	0.05	39424
75	0.1	37648
75	0.15	31904
75	0.2	25856
75	0.25	18784
75	0.3	7291
75	0.35	3696
75	0.4	2959
75	0.45	2480
75	0.5	2224
75	0.55	1336
75	0.6	944
75	0.65	608
75	0.7	416
75	0.75	304
75	0.8	64
75	0.85	32
75	0.9	0
75	0.95	0
75	1	0
77.5	0	41024
77.5	0.05	39424
77.5	0.1	37648
77.5	0.15	31904
77.5	0.2	25856
77.5	0.25	18784
77.5	0.3	7295
77.5	0.35	3696
77.5	0.4	2960
77.5	0.45	2480
77.5	0.5	2224
77.5	0.55	1338
77.5	0.6	944
77.5	0.65	608
77.5	0.7	416
77.5	0.75	304
77.5	0.8	64
77.5	0.85	32
77.5	0.9	0
77.5	0.95	0
77.5	1	0
80	0	41024
80	0.05	39424
80	0.1	37648
80	0.15	31904
80	0.2	25856
80	0.25	18784
80	0.3	7296
80	0.35	3696
80	0.4	2960
80	0.45	2480
80	0.5	2224
80	0.55	1342
80	0.6	944
80	0.65	608
80	0.7	416
80	0.75	304
80	0.8	64
80	0.85	32
80	0.9	0
80	0.95	0
80	1	0
82.5	0	41024
82.5	0.05	39424
82.5	0.1	37648
82.5	0.15	31904
82.5	0.2	25856
82.5	0.25	18784
82.5	0.3	7296
82.5	0.35	3696
82.5	0.4	2960
82.5	0.45	2480
82.5	0.5	2224
82.5	0.55	1344
82.5	0.6	944
82.5	0.65	608
82.5	0.7	416
82.5	0.75	304
82.5	0.8	64
82.5	0.85	32
82.5	0.9	0
82.5	0.95	0
82.5	1	0
85	0	41024
85	0.05	39424
85	0.1	37648
85	0.15	31904
85	0.2	25856
85	0.25	18784
85	0.3	7296
85	0.35	3696
85	0.4	2960
85	0.45	2480
85	0.5	2224
85	0.55	1344
85	0.6	944
85	0.65	608
85	0.7	416
85	0.75	304
85	0.8	64
85	0.85	32
85	0.9	0
85	0.95	0
85	1	0
87.5	0	41024
87.5	0.05	39424
87.5	0.1	37648
87.5	0.15	31904
87.5	0.2	25856
87.5	0.25	18784
87.5	0.3	7296
87.5	0.35	3696
87.5	0.4	2960
87.5	0.45	2480
87.5	0.5	2224
87.5	0.55	1344
87.5	0.6	944
87.5	0.65	608
87.5	0.7	416
87.5	0.75	304
87.5	0.8	64
87.5	0.85	32
87.5	0.9	0
87.5	0.95	0
87.5	1	0
90	0	41024
90	0.05	39424
90	0.1	37648
90	0.15	31904
90	0.2	25856
90	0.25	18784
90	0.3	7296
90	0.35	3696
90	0.4	2960
90	0.45	2480
90	0.5	2224
90	0.55	1344
90	0.6	944
90	0.65	608
90	0.7	416
90	0.75	304
90	0.8	64
90	0.85	32
90	0.9	0
90	0.95	0
90	1	0
92.5	0	41024
92.5	0.05	39424
92.5	0.1	37648
92.5	0.15	31904
92.5	0.2	25856
92.5	0.25	18784
92.5	0.3	7296
92.5	0.35	3696
92.5	0.4	2960
92.5	0.45	2480
92.5	0.5	2224
92.5	0.55	1344
92.5	0.6	944
92.5	0.65	608
92.5	0.7	416
92.5	0.75	304
92.5	0.8	64
92.5	0.85	32
92.5	0.9	0
92.5	0.95	0
92.5	1	0
95	0	41024
95	0.05	39424
95	0.1	37648
95	0.15	31904
95	0.2	25856
95	0.25	18784
95	0.3	7296
95	0.35	3696
95	0.4	2960
95	0.45	2480
95	0.5	2224
95	0.55	1344
95	0.6	944
95	0.65	608
95	0.7	416
95	0.75	304
95	0.8	64
95	0.85	32
95	0.9	0
95	0.95	0
95	1	0
97.5	0	41024
97.5	0.05	39424
97.5	0.1	37648
97.5	0.15	31904
97.5	0.2	25856
97.5	0.25	18784
97.5	0.3	7296
97.5	0.35	3696
97.5	0.4	2960
97.5	0.45	2480
97.5	0.5	2224
97.5	0.55	1344
97.5	0.6	944
97.5	0.65	608
97.5	0.7	416
97.5	0.75	304
97.5	0.8	64
97.5	0.85	32
97.5	0.9	0
97.5	0.95	0
97.5	1	0
100	0	41024
100	0.05	39424
100	0.1	37648
100	0.15	31904
100	0.2	25856
100	0.25	18784
100	0.3	7296
100	0.35	3696
100	0.4	2960
100	0.45	2480
100	0.5	2224
100	0.55	1344
100	0.6	944
100	0.65	608
100	0.7	416
100	0.75	304
100	0.8	64
100	0.85	32
100	0.9	0
100	0.95	0
100	1	0
