fpn	fnpt	value
35	0.35	5008
35	0.4	4803
35	0.45	4464
35	0.5	4111
35	0.55	3233
35	0.6	2767
35	0.65	1350
35	0.7	626
35	0.75	540
35	0.8	515
35	0.85	346
35	0.9	212
35	0.95	195
35	1	94
37.5	0	65466
37.5	0.05	36174
37.5	0.1	29096
37.5	0.15	22685
37.5	0.2	19364
37.5	0.25	8969
37.5	0.3	5337
37.5	0.35	5165
37.5	0.4	5010
37.5	0.45	4602
37.5	0.5	4255
37.5	0.55	3336
37.5	0.6	2884
37.5	0.65	1400
37.5	0.7	645
37.5	0.75	558
37.5	0.8	536
37.5	0.85	362
37.5	0.9	217
37.5	0.95	207
37.5	1	100
40	0	65466
40	0.05	36360
40	0.1	29396
40	0.15	23455
40	0.2	20164
40	0.25	9180
40	0.3	5479
40	0.35	5318
40	0.4	5175
40	0.45	4717
40	0.5	4359
40	0.55	3432
40	0.6	2972
40	0.65	1444
40	0.7	668
40	0.75	577
40	0.8	554
40	0.85	376
40	0.9	229
40	0.95	223
40	1	112
42.5	0	65466
42.5	0.05	36478
42.5	0.1	29577
42.5	0.15	23947
42.5	0.2	20717
42.5	0.25	9284
42.5	0.3	5551
42.5	0.35	5391
42.5	0.4	5287
42.5	0.45	4812
42.5	0.5	4449
42.5	0.55	3510
42.5	0.6	3037
42.5	0.65	1471
42.5	0.7	676
42.5	0.75	593
42.5	0.8	571
42.5	0.85	386
42.5	0.9	232
42.5	0.95	232
42.5	1	114
45	0	65466
45	0.05	36593
45	0.1	29727
45	0.15	24415
45	0.2	21121
45	0.25	9358
45	0.3	5625
45	0.35	5446
45	0.4	5377
45	0.45	4871
45	0.5	4510
45	0.55	3568
45	0.6	3104
45	0.65	1496
45	0.7	687
45	0.75	596
45	0.8	576
45	0.85	392
45	0.9	236
45	0.95	234
45	1	118
47.5	0	65466
47.5	0.05	36660
47.5	0.1	29784
47.5	0.15	24704
47.5	0.2	21395
47.5	0.25	9427
47.5	0.3	5659
47.5	0.35	5492
47.5	0.4	5417
47.5	0.45	4904
47.5	0.5	4556
47.5	0.55	3607
47.5	0.6	3140
47.5	0.65	1519
47.5	0.7	694
47.5	0.75	605
47.5	0.8	583
47.5	0.85	398
47.5	0.9	242
47.5	0.95	240
47.5	1	118
50	0	65466
50	0.05	36720
50	0.1	29830
50	0.15	24917
50	0.2	21607
50	0.25	9450
50	0.3	5703
50	0.35	5532
50	0.4	5466
50	0.45	4948
50	0.5	4593
50	0.55	3650
50	0.6	3174
50	0.65	1533
50	0.7	697
50	0.75	610
50	0.8	592
50	0.85	404
50	0.9	244
50	0.95	243
50	1	122
52.5	0	65466
52.5	0.05	36757
52.5	0.1	29866
52.5	0.15	25069
52.5	0.2	21749
52.5	0.25	9464
52.5	0.3	5731
52.5	0.35	5546
52.5	0.4	5488
52.5	0.45	4973
52.5	0.5	4615
52.5	0.55	3674
52.5	0.6	3201
52.5	0.65	1540
52.5	0.7	702
52.5	0.75	614
52.5	0.8	598
52.5	0.85	408
52.5	0.9	246
52.5	0.95	246
52.5	1	122
55	0	65466
55	0.05	36780
55	0.1	29873
55	0.15	25150
55	0.2	21838
55	0.25	9467
55	0.3	5740
55	0.35	5552
55	0.4	5493
55	0.45	4981
55	0.5	4626
55	0.55	3685
55	0.6	3213
55	0.65	1547
55	0.7	703
55	0.75	616
55	0.8	598
55	0.85	410
55	0.9	248
55	0.95	247
55	1	122
57.5	0	65466
57.5	0.05	36798
57.5	0.1	29878
57.5	0.15	25199
57.5	0.2	21908
57.5	0.25	9469
57.5	0.3	5748
57.5	0.35	5561
57.5	0.4	5502
57.5	0.45	4989
57.5	0.5	4637
57.5	0.55	3709
57.5	0.6	3233
57.5	0.65	1556
57.5	0.7	704
57.5	0.75	616
57.5	0.8	598
57.5	0.85	413
57.5	0.9	250
57.5	0.95	249
57.5	1	123
60	0	65466
60	0.05	36808
60	0.1	29878
60	0.15	25224
60	0.2	21938
60	0.25	9470
60	0.3	5760
60	0.35	5570
60	0.4	5505
60	0.45	4992
60	0.5	4640
60	0.55	3715
60	0.6	3247
60	0.65	1561
60	0.7	706
60	0.75	618
60	0.8	602
60	0.85	418
60	0.9	252
60	0.95	252
60	1	126
62.5	0	65466
62.5	0.05	36810
62.5	0.1	29878
62.5	0.15	25240
62.5	0.2	21963
62.5	0.25	9470
62.5	0.3	5760
62.5	0.35	5574
62.5	0.4	5508
62.5	0.45	4996
62.5	0.5	4645
62.5	0.55	3723
62.5	0.6	3255
62.5	0.65	1563
62.5	0.7	706
62.5	0.75	622
62.5	0.8	606
62.5	0.85	418
62.5	0.9	254
62.5	0.95	254
62.5	1	126
65	0	65466
65	0.05	36810
65	0.1	29878
65	0.15	25240
65	0.2	21970
65	0.25	9470
65	0.3	5760
65	0.35	5574
65	0.4	5508
65	0.45	4999
65	0.5	4647
65	0.55	3730
65	0.6	3264
65	0.65	1566
65	0.7	706
65	0.75	622
65	0.8	606
65	0.85	418
65	0.9	254
65	0.95	254
65	1	126
67.5	0	65466
67.5	0.05	36810
67.5	0.1	29878
67.5	0.15	25240
67.5	0.2	21970
67.5	0.25	9470
67.5	0.3	5760
67.5	0.35	5574
67.5	0.4	5508
67.5	0.45	5000
67.5	0.5	4648
67.5	0.55	3732
67.5	0.6	3266
67.5	0.65	1566
67.5	0.7	706
67.5	0.75	622
67.5	0.8	606
67.5	0.85	418
67.5	0.9	254
67.5	0.95	254
67.5	1	126
70	0	65466
70	0.05	36810
70	0.1	29878
70	0.15	25240
70	0.2	21970
70	0.25	9470
70	0.3	5760
70	0.35	5574
70	0.4	5508
70	0.45	5000
70	0.5	4648
70	0.55	3732
70	0.6	3266
70	0.65	1566
70	0.7	706
70	0.75	622
70	0.8	606
70	0.85	418
70	0.9	254
70	0.95	254
70	1	126
72.5	0	65466
72.5	0.05	36810
72.5	0.1	29878
72.5	0.15	25240
72.5	0.2	21970
72.5	0.25	9470
72.5	0.3	5760
72.5	0.35	5574
72.5	0.4	5508
72.5	0.45	5000
72.5	0.5	4648
72.5	0.55	3732
72.5	0.6	3266
72.5	0.65	1566
72.5	0.7	706
72.5	0.75	622
72.5	0.8	606
72.5	0.85	418
72.5	0.9	254
72.5	0.95	254
72.5	1	126
75	0	65466
75	0.05	36810
75	0.1	29878
75	0.15	25240
75	0.2	21970
75	0.25	9470
75	0.3	5760
75	0.35	5574
75	0.4	5508
75	0.45	5000
75	0.5	4648
75	0.55	3732
75	0.6	3266
75	0.65	1566
75	0.7	706
75	0.75	622
75	0.8	606
75	0.85	418
75	0.9	254
75	0.95	254
75	1	126
77.5	0	65466
77.5	0.05	36810
77.5	0.1	29878
77.5	0.15	25240
77.5	0.2	21970
77.5	0.25	9470
77.5	0.3	5760
77.5	0.35	5574
77.5	0.4	5508
77.5	0.45	5000
77.5	0.5	4648
77.5	0.55	3732
77.5	0.6	3266
77.5	0.65	1566
77.5	0.7	706
77.5	0.75	622
77.5	0.8	606
77.5	0.85	418
77.5	0.9	254
77.5	0.95	254
77.5	1	126
80	0	65466
80	0.05	36810
80	0.1	29878
80	0.15	25240
80	0.2	21970
80	0.25	9470
80	0.3	5760
80	0.35	5574
80	0.4	5508
80	0.45	5000
80	0.5	4648
80	0.55	3732
80	0.6	3266
80	0.65	1566
80	0.7	706
80	0.75	622
80	0.8	606
80	0.85	418
80	0.9	254
80	0.95	254
80	1	126
82.5	0	65466
82.5	0.05	36810
82.5	0.1	29878
82.5	0.15	25240
82.5	0.2	21970
82.5	0.25	9470
82.5	0.3	5760
82.5	0.35	5574
82.5	0.4	5508
82.5	0.45	5000
82.5	0.5	4648
82.5	0.55	3732
82.5	0.6	3266
82.5	0.65	1566
82.5	0.7	706
82.5	0.75	622
82.5	0.8	606
82.5	0.85	418
82.5	0.9	254
82.5	0.95	254
82.5	1	126
85	0	65466
85	0.05	36810
85	0.1	29878
85	0.15	25240
85	0.2	21970
85	0.25	9470
85	0.3	5760
85	0.35	5574
85	0.4	5508
85	0.45	5000
85	0.5	4648
85	0.55	3732
85	0.6	3266
85	0.65	1566
85	0.7	706
85	0.75	622
85	0.8	606
85	0.85	418
85	0.9	254
85	0.95	254
85	1	126
87.5	0	65466
87.5	0.05	36810
87.5	0.1	29878
87.5	0.15	25240
87.5	0.2	21970
87.5	0.25	9470
87.5	0.3	5760
87.5	0.35	5574
87.5	0.4	5508
87.5	0.45	5000
87.5	0.5	4648
87.5	0.55	3732
87.5	0.6	3266
87.5	0.65	1566
87.5	0.7	706
87.5	0.75	622
87.5	0.8	606
87.5	0.85	418
87.5	0.9	254
87.5	0.95	254
87.5	1	126
90	0	65466
90	0.05	36810
90	0.1	29878
90	0.15	25240
90	0.2	21970
90	0.25	9470
90	0.3	5760
90	0.35	5574
90	0.4	5508
90	0.45	5000
90	0.5	4648
90	0.55	3732
90	0.6	3266
90	0.65	1566
90	0.7	706
90	0.75	622
90	0.8	606
90	0.85	418
90	0.9	254
90	0.95	254
90	1	126
92.5	0	65466
92.5	0.05	36810
92.5	0.1	29878
92.5	0.15	25240
92.5	0.2	21970
92.5	0.25	9470
92.5	0.3	5760
92.5	0.35	5574
92.5	0.4	5508
92.5	0.45	5000
92.5	0.5	4648
92.5	0.55	3732
92.5	0.6	3266
92.5	0.65	1566
92.5	0.7	706
92.5	0.75	622
92.5	0.8	606
92.5	0.85	418
92.5	0.9	254
92.5	0.95	254
92.5	1	126
95	0	65466
95	0.05	36810
95	0.1	29878
95	0.15	25240
95	0.2	21970
95	0.25	9470
95	0.3	5760
95	0.35	5574
95	0.4	5508
95	0.45	5000
95	0.5	4648
95	0.55	3732
95	0.6	3266
95	0.65	1566
95	0.7	706
95	0.75	622
95	0.8	606
95	0.85	418
95	0.9	254
95	0.95	254
95	1	126
97.5	0	65466
97.5	0.05	36810
97.5	0.1	29878
97.5	0.15	25240
97.5	0.2	21970
97.5	0.25	9470
97.5	0.3	5760
97.5	0.35	5574
97.5	0.4	5508
97.5	0.45	5000
97.5	0.5	4648
97.5	0.55	3732
97.5	0.6	3266
97.5	0.65	1566
97.5	0.7	706
97.5	0.75	622
97.5	0.8	606
97.5	0.85	418
97.5	0.9	254
97.5	0.95	254
97.5	1	126
100	0	65466
100	0.05	36810
100	0.1	29878
100	0.15	25240
100	0.2	21970
100	0.25	9470
100	0.3	5760
100	0.35	5574
100	0.4	5508
100	0.45	5000
100	0.5	4648
100	0.55	3732
100	0.6	3266
100	0.65	1566
100	0.7	706
100	0.75	622
100	0.8	606
100	0.85	418
100	0.9	254
100	0.95	254
100	1	126
