design,time,fpn,expedience,variability,average,max_fall,max_rise,range
368,20,36.923,0.69669,581.45,16.796,-36.012,34.853,36.944
383,20,16.225,0.72065,349.83,8.272,-23.269,22.959,23.406
384,20,5.00E-05,0.68924,83.183,1.1664,-6.7264,6.7264,6.7264
40,25,8.6306,0.53011,211.42,10.151,-12.339,11.448,13.727
47,25,3.5985,0.66287,100.36,3.1626,-7.1472,7.1472,7.1472
48,25,5.0321,0.60817,153.24,7.4477,-11.083,11.083,11.549
61,25,2.1708,0.69396,93.953,2.513,-6.0414,5.3748,6.0414
62,25,0,0.90409,86.775,1.4929,-6.8928,6.8928,6.8928
63,25,0,0.20897,0.0009192,1.07E-05,-9.25E-05,9.25E-05,9.25E-05
64,25,2.9256,0.33656,180.54,5.9472,-10.236,10.311,12.079
72,25,12.873,0.57913,485.33,18.476,-29.295,27.655,31.035
79,25,5.0321,0.66748,340.77,10.093,-21.88,20.644,21.88
80,25,9.1,0.65933,272.21,11.964,-18.724,15.748,19.084
94,25,5.0613,0.6748,286.66,6.752,-16.509,16.509,16.509
95,25,0,1,61.001,0.86418,-6.1001,6.1001,6.1001
96,25,0,0.33128,157.42,2.3748,-13.165,13.165,13.165
111,25,12.619,0.70847,456.68,13.541,-27.651,29.322,30.173
112,25,10.815,0.74787,463.48,12.868,-31.143,30.541,32.173
127,25,1.385,0.8017,205.17,3.7542,-15.359,15.359,15.359
128,25,0,0.21429,0.0005,5.83E-06,-5.00E-05,5.00E-05,5.00E-05
168,25,9.9413,0.5275,212.23,11.393,-12.338,11.931,13.777
175,25,4.3709,0.62834,112,3.9538,-7.1473,7.1473,7.3597
176,25,6.4129,0.61484,171.68,9.1716,-12.084,12.084,13.239
190,25,0.84259,0.77959,105.32,2.2,-7.7276,7.3912,7.7352
191,25,9.86E-05,0.47411,6.2451,0.09851,-0.76769,0.76769,0.76769
192,25,5.032,0.35188,224.24,7.1161,-12.364,12.418,14.207
200,25,15.681,0.5801,501.46,20.752,-29.745,29.26,31.765
207,25,7.3492,0.65242,381.94,12.024,-23.758,22.33,23.758
208,25,10.242,0.65475,296.69,13.983,-19.137,17.23,20.271
222,25,6.8401,0.66278,309.56,8.002,-17.999,17.9,17.999
223,25,1.3362,0.77675,106.42,2.3645,-9.2722,8.0563,9.2722
224,25,5.23E-05,0.344,201.18,3.2058,-15.492,16.282,16.282
239,25,13.589,0.69656,513.61,15.111,-30.241,32.407,33.21
240,25,11.886,0.72106,523.99,14.969,-33.957,31.725,34.935
255,25,3.2811,0.7533,281.59,6.1637,-19.479,19.302,19.623
256,25,5.00E-05,0.70684,43.15,0.60449,-3.5749,3.5749,3.5749
296,25,11.252,0.52716,214.38,12.574,-12.338,12.338,13.827
303,25,5.1433,0.61584,118.29,4.6641,-7.1474,7.1474,7.8755
304,25,7.7938,0.60541,177.16,10.46,-12.084,12.084,14
318,25,1.6852,0.7286,118.81,2.8902,-8.1645,7.6897,8.5778
319,25,5.23E-05,0.55921,27.732,0.76819,-1.5791,2.4337,2.4337
320,25,7.1385,0.36095,268.5,8.307,-14.491,14.524,16.334
328,25,18.339,0.58558,513.05,22.612,-32.025,32.025,32.025
335,25,9.6662,0.6486,411.87,13.768,-24.728,23.384,25.483
336,25,11.264,0.64693,350.06,15.903,-21.837,20.582,22.921
351,25,2.502,0.71268,149.88,3.9011,-12.04,9.538,12.04
352,25,5.23E-05,0.35988,227.12,3.6103,-17.482,18.789,18.789
367,25,14.448,0.68952,576.9,16.734,-33.305,35.515,36.276
368,25,12.84,0.69669,581.45,16.796,-36.012,34.853,36.944
383,25,5.0405,0.72065,349.83,8.272,-23.269,22.959,23.406
384,25,5.00E-05,0.68924,83.183,1.1664,-6.7264,6.7264,6.7264
40,30,15.778,0.53011,211.42,10.151,-12.339,11.448,13.727
47,30,7.4691,0.66287,100.36,3.1626,-7.1472,7.1472,7.1472
48,30,15.225,0.60817,153.24,7.4477,-11.083,11.083,11.549
61,30,6.0414,0.69396,93.953,2.513,-6.0414,5.3748,6.0414
62,30,6.8928,0.90409,86.775,1.4929,-6.8928,6.8928,6.8928
63,30,0,0.20897,0.0009192,1.07E-05,-9.25E-05,9.25E-05,9.25E-05
64,30,1.0857,0.33656,180.54,5.9472,-10.236,10.311,12.079
72,30,33.428,0.57913,485.33,18.476,-29.295,27.655,31.035
79,30,23.504,0.66748,340.77,10.093,-21.88,20.644,21.88
80,30,23.405,0.65933,272.21,11.964,-18.724,15.748,19.084
94,30,16.509,0.6748,286.66,6.752,-16.509,16.509,16.509
95,30,6.1001,1,61.001,0.86418,-6.1001,6.1001,6.1001
96,30,0,0.33128,157.42,2.3748,-13.165,13.165,13.165
111,30,30.087,0.70847,456.68,13.541,-27.651,29.322,30.173
112,30,32.767,0.74787,463.48,12.868,-31.143,30.541,32.173
127,30,15.359,0.8017,205.17,3.7542,-15.359,15.359,15.359
128,30,0,0.21429,0.0005,5.83E-06,-5.00E-05,5.00E-05,5.00E-05
168,30,17.088,0.5275,212.23,11.393,-12.338,11.931,13.777
175,30,8.2415,0.62834,112,3.9538,-7.1473,7.1473,7.3597
176,30,17.606,0.61484,171.68,9.1716,-12.084,12.084,13.239
190,30,7.7353,0.77959,105.32,2.2,-7.7276,7.3912,7.7352
191,30,6.63E-05,0.47411,6.2451,0.09851,-0.76769,0.76769,0.76769
192,30,1.0857,0.35188,224.24,7.1161,-12.364,12.418,14.207
200,30,36.064,0.5801,501.46,20.752,-29.745,29.26,31.765
207,30,26.046,0.65242,381.94,12.024,-23.758,22.33,23.758
208,30,26.331,0.65475,296.69,13.983,-19.137,17.23,20.271
222,30,18.288,0.66278,309.56,8.002,-17.999,17.9,17.999
223,30,9.2723,0.77675,106.42,2.3645,-9.2722,8.0563,9.2722
224,30,6.63E-05,0.344,201.18,3.2058,-15.492,16.282,16.282
239,30,32.89,0.69656,513.61,15.111,-30.241,32.407,33.21
240,30,35.817,0.72106,523.99,14.969,-33.957,31.725,34.935
255,30,19.861,0.7533,281.59,6.1637,-19.479,19.302,19.623
256,30,2.3851,0.70684,43.15,0.60449,-3.5749,3.5749,3.5749
296,30,18.399,0.52716,214.38,12.574,-12.338,12.338,13.827
303,30,9.0139,0.61584,118.29,4.6641,-7.1474,7.1474,7.8755
304,30,18.987,0.60541,177.16,10.46,-12.084,12.084,14
318,30,8.5779,0.7286,118.81,2.8902,-8.1645,7.6897,8.5778
319,30,1.5792,0.55921,27.732,0.76819,-1.5791,2.4337,2.4337
320,30,1.0857,0.36095,268.5,8.307,-14.491,14.524,16.334
328,30,37.696,0.58558,513.05,22.612,-32.025,32.025,32.025
335,30,28.311,0.6486,411.87,13.768,-24.728,23.384,25.483
336,30,29.256,0.64693,350.06,15.903,-21.837,20.582,22.921
351,30,12.04,0.71268,149.88,3.9011,-12.04,9.538,12.04
352,30,6.63E-05,0.35988,227.12,3.6103,-17.482,18.789,18.789
367,30,36.143,0.68952,576.9,16.734,-33.305,35.515,36.276
368,30,38.082,0.69669,581.45,16.796,-36.012,34.853,36.944
383,30,24.038,0.72065,349.83,8.272,-23.269,22.959,23.406
384,30,4.4877,0.68924,83.183,1.1664,-6.7264,6.7264,6.7264
40,32,4.3299,0.53011,211.42,10.151,-12.339,11.448,13.727
47,32,0.32186,0.66287,100.36,3.1626,-7.1472,7.1472,7.1472
48,32,4.1416,0.60817,153.24,7.4477,-11.083,11.083,11.549
61,32,0.66662,0.69396,93.953,2.513,-6.0414,5.3748,6.0414
62,32,0,0.90409,86.775,1.4929,-6.8928,6.8928,6.8928
63,32,0,0.20897,0.0009192,1.07E-05,-9.25E-05,9.25E-05,9.25E-05
64,32,11.14,0.33656,180.54,5.9472,-10.236,10.311,12.079
72,32,11.982,0.57913,485.33,18.476,-29.295,27.655,31.035
79,32,4.1415,0.66748,340.77,10.093,-21.88,20.644,21.88
80,32,13.152,0.65933,272.21,11.964,-18.724,15.748,19.084
94,32,0,0.6748,286.66,6.752,-16.509,16.509,16.509
95,32,0,1,61.001,0.86418,-6.1001,6.1001,6.1001
96,32,11.397,0.33128,157.42,2.3748,-13.165,13.165,13.165
111,32,3.3145,0.70847,456.68,13.541,-27.651,29.322,30.173
112,32,2.2264,0.74787,463.48,12.868,-31.143,30.541,32.173
127,32,0,0.8017,205.17,3.7542,-15.359,15.359,15.359
128,32,0,0.21429,0.0005,5.83E-06,-5.00E-05,5.00E-05,5.00E-05
168,32,5.1573,0.5275,212.23,11.393,-12.338,11.931,13.777
175,32,1.0942,0.62834,112,3.9538,-7.1473,7.1473,7.3597
176,32,5.5225,0.61484,171.68,9.1716,-12.084,12.084,13.239
190,32,0.34407,0.77959,105.32,2.2,-7.7276,7.3912,7.7352
191,32,0.27981,0.47411,6.2451,0.09851,-0.76769,0.76769,0.76769
192,32,12.949,0.35188,224.24,7.1161,-12.364,12.418,14.207
200,32,14.791,0.5801,501.46,20.752,-29.745,29.26,31.765
207,32,6.4586,0.65242,381.94,12.024,-23.758,22.33,23.758
208,32,16.078,0.65475,296.69,13.983,-19.137,17.23,20.271
222,32,0.3878,0.66278,309.56,8.002,-17.999,17.9,17.999
223,32,1.216,0.77675,106.42,2.3645,-9.2722,8.0563,9.2722
224,32,14.44,0.344,201.18,3.2058,-15.492,16.282,16.282
239,32,3.6007,0.69656,513.61,15.111,-30.241,32.407,33.21
240,32,4.5186,0.72106,523.99,14.969,-33.957,31.725,34.935
255,32,0.55947,0.7533,281.59,6.1637,-19.479,19.302,19.623
256,32,5.00E-05,0.70684,43.15,0.60449,-3.5749,3.5749,3.5749
296,32,6.0608,0.52716,214.38,12.574,-12.338,12.338,13.827
303,32,1.8665,0.61584,118.29,4.6641,-7.1474,7.1474,7.8755
304,32,6.9034,0.60541,177.16,10.46,-12.084,12.084,14
318,32,0.88824,0.7286,118.81,2.8902,-8.1645,7.6897,8.5778
319,32,1.45,0.55921,27.732,0.76819,-1.5791,2.4337,2.4337
320,32,14.546,0.36095,268.5,8.307,-14.491,14.524,16.334
328,32,17.599,0.58558,513.05,22.612,-32.025,32.025,32.025
335,32,8.7758,0.6486,411.87,13.768,-24.728,23.384,25.483
336,32,19.004,0.64693,350.06,15.903,-21.837,20.582,22.921
351,32,3.3224,0.71268,149.88,3.9011,-12.04,9.538,12.04
352,32,17.482,0.35988,227.12,3.6103,-17.482,18.789,18.789
367,32,3.854,0.68952,576.9,16.734,-33.305,35.515,36.276
368,32,4.8001,0.69669,581.45,16.796,-36.012,34.853,36.944
383,32,1.0786,0.72065,349.83,8.272,-23.269,22.959,23.406
384,32,5.00E-05,0.68924,83.183,1.1664,-6.7264,6.7264,6.7264
40,36,15.778,0.53011,211.42,10.151,-12.339,11.448,13.727
47,36,7.4691,0.66287,100.36,3.1626,-7.1472,7.1472,7.1472
48,36,15.225,0.60817,153.24,7.4477,-11.083,11.083,11.549
61,36,6.0414,0.69396,93.953,2.513,-6.0414,5.3748,6.0414
62,36,6.8928,0.90409,86.775,1.4929,-6.8928,6.8928,6.8928
63,36,0,0.20897,0.0009192,1.07E-05,-9.25E-05,9.25E-05,9.25E-05
64,36,1.0857,0.33656,180.54,5.9472,-10.236,10.311,12.079
72,36,33.428,0.57913,485.33,18.476,-29.295,27.655,31.035
79,36,23.504,0.66748,340.77,10.093,-21.88,20.644,21.88
80,36,23.405,0.65933,272.21,11.964,-18.724,15.748,19.084
94,36,16.509,0.6748,286.66,6.752,-16.509,16.509,16.509
95,36,6.1001,1,61.001,0.86418,-6.1001,6.1001,6.1001
96,36,0,0.33128,157.42,2.3748,-13.165,13.165,13.165
111,36,30.087,0.70847,456.68,13.541,-27.651,29.322,30.173
112,36,32.767,0.74787,463.48,12.868,-31.143,30.541,32.173
127,36,15.359,0.8017,205.17,3.7542,-15.359,15.359,15.359
128,36,0,0.21429,0.0005,5.83E-06,-5.00E-05,5.00E-05,5.00E-05
168,36,17.088,0.5275,212.23,11.393,-12.338,11.931,13.777
175,36,8.2415,0.62834,112,3.9538,-7.1473,7.1473,7.3597
176,36,17.606,0.61484,171.68,9.1716,-12.084,12.084,13.239
190,36,7.7353,0.77959,105.32,2.2,-7.7276,7.3912,7.7352
191,36,6.63E-05,0.47411,6.2451,0.09851,-0.76769,0.76769,0.76769
192,36,1.0857,0.35188,224.24,7.1161,-12.364,12.418,14.207
200,36,36.064,0.5801,501.46,20.752,-29.745,29.26,31.765
207,36,26.046,0.65242,381.94,12.024,-23.758,22.33,23.758
208,36,26.331,0.65475,296.69,13.983,-19.137,17.23,20.271
222,36,18.288,0.66278,309.56,8.002,-17.999,17.9,17.999
223,36,9.2723,0.77675,106.42,2.3645,-9.2722,8.0563,9.2722
224,36,6.63E-05,0.344,201.18,3.2058,-15.492,16.282,16.282
239,36,32.89,0.69656,513.61,15.111,-30.241,32.407,33.21
240,36,35.817,0.72106,523.99,14.969,-33.957,31.725,34.935
255,36,19.861,0.7533,281.59,6.1637,-19.479,19.302,19.623
256,36,2.3851,0.70684,43.15,0.60449,-3.5749,3.5749,3.5749
296,36,18.399,0.52716,214.38,12.574,-12.338,12.338,13.827
303,36,9.0139,0.61584,118.29,4.6641,-7.1474,7.1474,7.8755
304,36,18.987,0.60541,177.16,10.46,-12.084,12.084,14
318,36,8.5779,0.7286,118.81,2.8902,-8.1645,7.6897,8.5778
319,36,1.5792,0.55921,27.732,0.76819,-1.5791,2.4337,2.4337
320,36,1.0857,0.36095,268.5,8.307,-14.491,14.524,16.334
328,36,37.696,0.58558,513.05,22.612,-32.025,32.025,32.025
335,36,28.311,0.6486,411.87,13.768,-24.728,23.384,25.483
336,36,29.256,0.64693,350.06,15.903,-21.837,20.582,22.921
351,36,12.04,0.71268,149.88,3.9011,-12.04,9.538,12.04
352,36,6.63E-05,0.35988,227.12,3.6103,-17.482,18.789,18.789
367,36,36.143,0.68952,576.9,16.734,-33.305,35.515,36.276
368,36,38.082,0.69669,581.45,16.796,-36.012,34.853,36.944
383,36,24.038,0.72065,349.83,8.272,-23.269,22.959,23.406
384,36,4.4877,0.68924,83.183,1.1664,-6.7264,6.7264,6.7264
40,39,13.19,0.53011,211.42,10.151,-12.339,11.448,13.727
47,39,4.7683,0.66287,100.36,3.1626,-7.1472,7.1472,7.1472
48,39,10.038,0.60817,153.24,7.4477,-11.083,11.083,11.549
61,39,5.0707,0.69396,93.953,2.513,-6.0414,5.3748,6.0414
62,39,3.3212,0.90409,86.775,1.4929,-6.8928,6.8928,6.8928
63,39,0,0.20897,0.0009192,1.07E-05,-9.25E-05,9.25E-05,9.25E-05
64,39,2.7051,0.33656,180.54,5.9472,-10.236,10.311,12.079
72,39,30.216,0.57913,485.33,18.476,-29.295,27.655,31.035
79,39,22.269,0.66748,340.77,10.093,-21.88,20.644,21.88
80,39,20.429,0.65933,272.21,11.964,-18.724,15.748,19.084
94,39,13.931,0.6748,286.66,6.752,-16.509,16.509,16.509
95,39,0,1,61.001,0.86418,-6.1001,6.1001,6.1001
96,39,0,0.33128,157.42,2.3748,-13.165,13.165,13.165
111,39,31.758,0.70847,456.68,13.541,-27.651,29.322,30.173
112,39,29.838,0.74787,463.48,12.868,-31.143,30.541,32.173
127,39,6.4229,0.8017,205.17,3.7542,-15.359,15.359,15.359
128,39,0,0.21429,0.0005,5.83E-06,-5.00E-05,5.00E-05,5.00E-05
168,39,14.518,0.5275,212.23,11.393,-12.338,11.931,13.777
175,39,5.5511,0.62834,112,3.9538,-7.1473,7.1473,7.3597
176,39,14.18,0.61484,171.68,9.1716,-12.084,12.084,13.239
190,39,4.1752,0.77959,105.32,2.2,-7.7276,7.3912,7.7352
191,39,6.10E-05,0.47411,6.2451,0.09851,-0.76769,0.76769,0.76769
192,39,2.7051,0.35188,224.24,7.1161,-12.364,12.418,14.207
200,39,33.063,0.5801,501.46,20.752,-29.745,29.26,31.765
207,39,24.618,0.65242,381.94,12.024,-23.758,22.33,23.758
208,39,24.424,0.65475,296.69,13.983,-19.137,17.23,20.271
222,39,15.734,0.66278,309.56,8.002,-17.999,17.9,17.999
223,39,2.135,0.77675,106.42,2.3645,-9.2722,8.0563,9.2722
224,39,6.10E-05,0.344,201.18,3.2058,-15.492,16.282,16.282
239,39,35.056,0.69656,513.61,15.111,-30.241,32.407,33.21
240,39,33.585,0.72106,523.99,14.969,-33.957,31.725,34.935
255,39,12.573,0.7533,281.59,6.1637,-19.479,19.302,19.623
256,39,5.00E-05,0.70684,43.15,0.60449,-3.5749,3.5749,3.5749
296,39,15.847,0.52716,214.38,12.574,-12.338,12.338,13.827
303,39,6.3339,0.61584,118.29,4.6641,-7.1474,7.1474,7.8755
304,39,15.58,0.60541,177.16,10.46,-12.084,12.084,14
318,39,5.0292,0.7286,118.81,2.8902,-8.1645,7.6897,8.5778
319,39,6.10E-05,0.55921,27.732,0.76819,-1.5791,2.4337,2.4337
320,39,2.7051,0.36095,268.5,8.307,-14.491,14.524,16.334
328,39,35.91,0.58558,513.05,22.612,-32.025,32.025,32.025
335,39,26.967,0.6486,411.87,13.768,-24.728,23.384,25.483
336,39,28.001,0.64693,350.06,15.903,-21.837,20.582,22.921
351,39,4.2701,0.71268,149.88,3.9011,-12.04,9.538,12.04
352,39,6.10E-05,0.35988,227.12,3.6103,-17.482,18.789,18.789
367,39,38.353,0.68952,576.9,16.734,-33.305,35.515,36.276
368,39,36.923,0.69669,581.45,16.796,-36.012,34.853,36.944
383,39,16.225,0.72065,349.83,8.272,-23.269,22.959,23.406
384,39,5.00E-05,0.68924,83.183,1.1664,-6.7264,6.7264,6.7264
40,43,10.617,0.53011,211.42,10.151,-12.339,11.448,13.727
47,43,1.9775,0.66287,100.36,3.1626,-7.1472,7.1472,7.1472
48,43,11.347,0.60817,153.24,7.4477,-11.083,11.083,11.549
61,43,2.0809,0.69396,93.953,2.513,-6.0414,5.3748,6.0414
62,43,1.6428,0.90409,86.775,1.4929,-6.8928,6.8928,6.8928
63,43,0,0.20897,0.0009192,1.07E-05,-9.25E-05,9.25E-05,9.25E-05
64,43,3.0422,0.33656,180.54,5.9472,-10.236,10.311,12.079
72,43,13.386,0.57913,485.33,18.476,-29.295,27.655,31.035
79,43,5.315,0.66748,340.77,10.093,-21.88,20.644,21.88
80,43,14.542,0.65933,272.21,11.964,-18.724,15.748,19.084
94,43,5.263,0.6748,286.66,6.752,-16.509,16.509,16.509
95,43,0,1,61.001,0.86418,-6.1001,6.1001,6.1001
96,43,0,0.33128,157.42,2.3748,-13.165,13.165,13.165
111,43,6.5668,0.70847,456.68,13.541,-27.651,29.322,30.173
112,43,13.939,0.74787,463.48,12.868,-31.143,30.541,32.173
127,43,0,0.8017,205.17,3.7542,-15.359,15.359,15.359
128,43,0,0.21429,0.0005,5.83E-06,-5.00E-05,5.00E-05,5.00E-05
168,43,11.98,0.5275,212.23,11.393,-12.338,11.931,13.777
175,43,2.7805,0.62834,112,3.9538,-7.1473,7.1473,7.3597
176,43,12.783,0.61484,171.68,9.1716,-12.084,12.084,13.239
190,43,2.519,0.77959,105.32,2.2,-7.7276,7.3912,7.7352
191,43,0.74779,0.47411,6.2451,0.09851,-0.76769,0.76769,0.76769
192,43,5.2326,0.35188,224.24,7.1161,-12.364,12.418,14.207
200,43,16.306,0.5801,501.46,20.752,-29.745,29.26,31.765
207,43,7.6419,0.65242,381.94,12.024,-23.758,22.33,23.758
208,43,15.327,0.65475,296.69,13.983,-19.137,17.23,20.271
222,43,7.1126,0.66278,309.56,8.002,-17.999,17.9,17.999
223,43,2.1904,0.77675,106.42,2.3645,-9.2722,8.0563,9.2722
224,43,0.78375,0.344,201.18,3.2058,-15.492,16.282,16.282
239,43,8.5546,0.69656,513.61,15.111,-30.241,32.407,33.21
240,43,15.576,0.72106,523.99,14.969,-33.957,31.725,34.935
255,43,3.103,0.7533,281.59,6.1637,-19.479,19.302,19.623
256,43,3.5749,0.70684,43.15,0.60449,-3.5749,3.5749,3.5749
296,43,13.343,0.52716,214.38,12.574,-12.338,12.338,13.827
303,43,3.5838,0.61584,118.29,4.6641,-7.1474,7.1474,7.8755
304,43,14.219,0.60541,177.16,10.46,-12.084,12.084,14
318,43,3.3951,0.7286,118.81,2.8902,-8.1645,7.6897,8.5778
319,43,2.4338,0.55921,27.732,0.76819,-1.5791,2.4337,2.4337
320,43,7.423,0.36095,268.5,8.307,-14.491,14.524,16.334
328,43,19.227,0.58558,513.05,22.612,-32.025,32.025,32.025
335,43,10.051,0.6486,411.87,13.768,-24.728,23.384,25.483
336,43,15.934,0.64693,350.06,15.903,-21.837,20.582,22.921
351,43,4.3807,0.71268,149.88,3.9011,-12.04,9.538,12.04
352,43,1.4785,0.35988,227.12,3.6103,-17.482,18.789,18.789
367,43,11.937,0.68952,576.9,16.734,-33.305,35.515,36.276
368,43,19.592,0.69669,581.45,16.796,-36.012,34.853,36.944
383,43,6.2669,0.72065,349.83,8.272,-23.269,22.959,23.406
384,43,6.7264,0.68924,83.183,1.1664,-6.7264,6.7264,6.7264
40,46,4.3299,0.53011,211.42,10.151,-12.339,11.448,13.727
47,46,0.32186,0.66287,100.36,3.1626,-7.1472,7.1472,7.1472
48,46,4.1416,0.60817,153.24,7.4477,-11.083,11.083,11.549
61,46,0.66662,0.69396,93.953,2.513,-6.0414,5.3748,6.0414
62,46,0,0.90409,86.775,1.4929,-6.8928,6.8928,6.8928
63,46,0,0.20897,0.0009192,1.07E-05,-9.25E-05,9.25E-05,9.25E-05
64,46,11.14,0.33656,180.54,5.9472,-10.236,10.311,12.079
72,46,11.982,0.57913,485.33,18.476,-29.295,27.655,31.035
79,46,4.1415,0.66748,340.77,10.093,-21.88,20.644,21.88
80,46,13.152,0.65933,272.21,11.964,-18.724,15.748,19.084
94,46,0,0.6748,286.66,6.752,-16.509,16.509,16.509
95,46,0,1,61.001,0.86418,-6.1001,6.1001,6.1001
96,46,11.397,0.33128,157.42,2.3748,-13.165,13.165,13.165
111,46,3.3145,0.70847,456.68,13.541,-27.651,29.322,30.173
112,46,2.2264,0.74787,463.48,12.868,-31.143,30.541,32.173
127,46,0,0.8017,205.17,3.7542,-15.359,15.359,15.359
128,46,0,0.21429,0.0005,5.83E-06,-5.00E-05,5.00E-05,5.00E-05
168,46,5.1573,0.5275,212.23,11.393,-12.338,11.931,13.777
175,46,1.0942,0.62834,112,3.9538,-7.1473,7.1473,7.3597
176,46,5.5225,0.61484,171.68,9.1716,-12.084,12.084,13.239
190,46,0.34407,0.77959,105.32,2.2,-7.7276,7.3912,7.7352
191,46,0.27981,0.47411,6.2451,0.09851,-0.76769,0.76769,0.76769
192,46,12.949,0.35188,224.24,7.1161,-12.364,12.418,14.207
200,46,14.791,0.5801,501.46,20.752,-29.745,29.26,31.765
207,46,6.4586,0.65242,381.94,12.024,-23.758,22.33,23.758
208,46,16.078,0.65475,296.69,13.983,-19.137,17.23,20.271
222,46,0.3878,0.66278,309.56,8.002,-17.999,17.9,17.999
223,46,1.216,0.77675,106.42,2.3645,-9.2722,8.0563,9.2722
224,46,14.44,0.344,201.18,3.2058,-15.492,16.282,16.282
239,46,3.6007,0.69656,513.61,15.111,-30.241,32.407,33.21
240,46,4.5186,0.72106,523.99,14.969,-33.957,31.725,34.935
255,46,0.55947,0.7533,281.59,6.1637,-19.479,19.302,19.623
256,46,5.00E-05,0.70684,43.15,0.60449,-3.5749,3.5749,3.5749
296,46,6.0608,0.52716,214.38,12.574,-12.338,12.338,13.827
303,46,1.8665,0.61584,118.29,4.6641,-7.1474,7.1474,7.8755
304,46,6.9034,0.60541,177.16,10.46,-12.084,12.084,14
318,46,0.88824,0.7286,118.81,2.8902,-8.1645,7.6897,8.5778
319,46,1.45,0.55921,27.732,0.76819,-1.5791,2.4337,2.4337
320,46,14.546,0.36095,268.5,8.307,-14.491,14.524,16.334
328,46,17.599,0.58558,513.05,22.612,-32.025,32.025,32.025
335,46,8.7758,0.6486,411.87,13.768,-24.728,23.384,25.483
336,46,19.004,0.64693,350.06,15.903,-21.837,20.582,22.921
351,46,3.3224,0.71268,149.88,3.9011,-12.04,9.538,12.04
352,46,17.482,0.35988,227.12,3.6103,-17.482,18.789,18.789
367,46,3.854,0.68952,576.9,16.734,-33.305,35.515,36.276
368,46,4.8001,0.69669,581.45,16.796,-36.012,34.853,36.944
383,46,1.0786,0.72065,349.83,8.272,-23.269,22.959,23.406
384,46,5.00E-05,0.68924,83.183,1.1664,-6.7264,6.7264,6.7264
40,49,15.778,0.53011,211.42,10.151,-12.339,11.448,13.727
47,49,7.4691,0.66287,100.36,3.1626,-7.1472,7.1472,7.1472
48,49,15.225,0.60817,153.24,7.4477,-11.083,11.083,11.549
61,49,6.0414,0.69396,93.953,2.513,-6.0414,5.3748,6.0414
62,49,6.8928,0.90409,86.775,1.4929,-6.8928,6.8928,6.8928
63,49,0,0.20897,0.0009192,1.07E-05,-9.25E-05,9.25E-05,9.25E-05
64,49,1.0857,0.33656,180.54,5.9472,-10.236,10.311,12.079
72,49,33.428,0.57913,485.33,18.476,-29.295,27.655,31.035
79,49,23.504,0.66748,340.77,10.093,-21.88,20.644,21.88
80,49,23.405,0.65933,272.21,11.964,-18.724,15.748,19.084
94,49,16.509,0.6748,286.66,6.752,-16.509,16.509,16.509
95,49,6.1001,1,61.001,0.86418,-6.1001,6.1001,6.1001
96,49,0,0.33128,157.42,2.3748,-13.165,13.165,13.165
111,49,30.087,0.70847,456.68,13.541,-27.651,29.322,30.173
112,49,32.767,0.74787,463.48,12.868,-31.143,30.541,32.173
127,49,15.359,0.8017,205.17,3.7542,-15.359,15.359,15.359
128,49,0,0.21429,0.0005,5.83E-06,-5.00E-05,5.00E-05,5.00E-05
168,49,17.088,0.5275,212.23,11.393,-12.338,11.931,13.777
175,49,8.2415,0.62834,112,3.9538,-7.1473,7.1473,7.3597
176,49,17.606,0.61484,171.68,9.1716,-12.084,12.084,13.239
190,49,7.7353,0.77959,105.32,2.2,-7.7276,7.3912,7.7352
191,49,6.63E-05,0.47411,6.2451,0.09851,-0.76769,0.76769,0.76769
192,49,1.0857,0.35188,224.24,7.1161,-12.364,12.418,14.207
200,49,36.064,0.5801,501.46,20.752,-29.745,29.26,31.765
207,49,26.046,0.65242,381.94,12.024,-23.758,22.33,23.758
208,49,26.331,0.65475,296.69,13.983,-19.137,17.23,20.271
222,49,18.288,0.66278,309.56,8.002,-17.999,17.9,17.999
223,49,9.2723,0.77675,106.42,2.3645,-9.2722,8.0563,9.2722
224,49,6.63E-05,0.344,201.18,3.2058,-15.492,16.282,16.282
239,49,32.89,0.69656,513.61,15.111,-30.241,32.407,33.21
240,49,35.817,0.72106,523.99,14.969,-33.957,31.725,34.935
255,49,19.861,0.7533,281.59,6.1637,-19.479,19.302,19.623
256,49,2.3851,0.70684,43.15,0.60449,-3.5749,3.5749,3.5749
296,49,18.399,0.52716,214.38,12.574,-12.338,12.338,13.827
303,49,9.0139,0.61584,118.29,4.6641,-7.1474,7.1474,7.8755
304,49,18.987,0.60541,177.16,10.46,-12.084,12.084,14
318,49,8.5779,0.7286,118.81,2.8902,-8.1645,7.6897,8.5778
319,49,1.5792,0.55921,27.732,0.76819,-1.5791,2.4337,2.4337
320,49,1.0857,0.36095,268.5,8.307,-14.491,14.524,16.334
328,49,37.696,0.58558,513.05,22.612,-32.025,32.025,32.025
335,49,28.311,0.6486,411.87,13.768,-24.728,23.384,25.483
336,49,29.256,0.64693,350.06,15.903,-21.837,20.582,22.921
351,49,12.04,0.71268,149.88,3.9011,-12.04,9.538,12.04
352,49,6.63E-05,0.35988,227.12,3.6103,-17.482,18.789,18.789
367,49,36.143,0.68952,576.9,16.734,-33.305,35.515,36.276
368,49,38.082,0.69669,581.45,16.796,-36.012,34.853,36.944
383,49,24.038,0.72065,349.83,8.272,-23.269,22.959,23.406
384,49,4.4877,0.68924,83.183,1.1664,-6.7264,6.7264,6.7264
