design_id,weight,pax,cargo,lio_depth,lio_type,pwr_source,prop_type,mod,combine_score,msn1_score,msn2_score,msn3_score,cost,range,max_speed,endurance_speed,fpn,fpn1,fpn2,fpn3
1623,28000,4,100,120,4,1,1,150,0.610,0.481,0.633,0.440,17.34,67,10,4,1.32,3.38,2.4,2.4
1624,28000,4,100,120,4,1,2,300,0.586,0.507,0.709,0.756,18.19,53,11,4,4.61,5.51,2.29,0
1626,28000,4,100,120,4,1,2,150,0.641,0.514,0.656,0.446,17.03,72,11,4,0.12,1.21,1.21,1.21
1627,28000,4,100,120,4,2,1,300,0.780,0.727,0.840,0.790,23.23,97,14,4,16.39,16.17,10.97,4.61
1629,28000,4,100,120,4,2,1,150,0.705,0.589,0.701,0.459,22.15,109,14,4,13.37,16.08,16.08,15.35
1630,28000,4,100,120,4,2,2,300,0.791,0.743,0.851,0.796,22.68,116,15,4,14.27,14.21,8.84,2.48
1632,28000,4,100,120,4,2,2,150,0.727,0.619,0.721,0.467,21.64,130,15,5,11.4,14.1,14.1,13.37
1635,28000,4,100,120,5,1,1,150,0.438,0.319,0.613,0.534,19.09,41,10,4,14.46,13.8,9.19,3.49
1638,28000,4,100,120,5,1,2,150,0.449,0.330,0.621,0.537,18.74,42,11,4,13.02,12.44,7.83,2.14
1641,28000,4,100,120,5,2,1,150,0.746,0.666,0.824,0.590,23.55,91,13,4,18.19,21.51,12.21,18.63
1644,28000,4,100,120,5,2,2,150,0.752,0.674,0.830,0.592,22.98,108,14,4,16.59,19.3,10,18.38
1653,28000,4,100,120,6,2,1,150,0.742,0.667,0.837,0.610,22.85,85,13,4,16.08,18.8,9.49,16.38
1656,28000,4,100,120,6,2,2,150,0.750,0.677,0.843,0.611,22.28,101,14,4,13.87,16.59,7.29,15.85
1657,28000,4,100,20,1,1,1,300,0.520,0.539,0.663,0.487,17.22,69,10,4,3.72,1.6,1.94,1.94
1659,28000,4,100,20,1,1,1,150,0.506,0.469,0.563,0.164,16,86,10,4,3.37,1.82,1.82,5.46
1660,28000,4,100,20,1,1,2,300,0.550,0.571,0.686,0.492,16.91,75,11,4,0,0,0.74,0.74
1662,28000,4,100,20,1,1,2,150,0.520,0.483,0.576,0.168,15.71,94,11,4,2.25,0.7,0.7,4.34
1663,28000,4,100,20,1,2,1,300,0.603,0.633,0.724,0.503,22.69,110,14,4,22.05,18.17,18.17,17.44
1664,28000,4,100,20,1,2,1,800,0.572,0.586,0.683,0.432,21.84,86,13,4,18.76,15.99,14.88,14.15
1665,28000,4,100,20,1,2,1,150,0.534,0.504,0.590,0.174,22.87,121,15,5,22.75,22.75,20.42,23.83
1666,28000,4,100,20,1,2,2,300,0.626,0.664,0.744,0.511,22.18,131,15,5,20.07,16.2,16.2,15.47
1667,28000,4,100,20,1,2,2,800,0.580,0.594,0.689,0.434,21.31,102,14,4,16.71,14.93,12.83,13.01
1668,28000,4,100,20,1,2,2,150,0.559,0.537,0.613,0.182,22.37,145,16,5,20.81,20.81,18.49,21.89
1669,28000,4,100,20,2,1,1,300,0.374,0.417,0.693,0.628,18.99,43,10,4,14.96,11.37,5.39,3.1
