design_id,L,B,D,Crane,POB,Power,LWI,MP,Fuel,ROV,DP,Deck_Area,ROI,MAU1,MAU2,CAPEX
5.5,160,25,8,600,150,15000,600,0,0,1,1,1499.9,0.068411,0.532,0.48517,223.1
5.6,180,25,8,600,150,15000,600,0,0,1,1,1814.3,0.063572,0.50948,0.48426,231.14
5.7,120,30,8,600,150,15000,600,0,0,1,1,1222.9,0.072542,0.55039,0.43089,216.68
5.8,140,30,8,600,150,15000,600,0,0,1,1,1594.9,0.066434,0.52293,0.45379,226.32
5.9,160,30,8,600,150,15000,600,0,0,1,1,1975.7,0.060826,0.49622,0.45936,235.96
6,180,30,8,600,150,15000,600,0,0,1,1,2364.5,0.055658,0.43551,0.44284,245.59
6.1,120,35,8,600,150,15000,600,0,0,1,1,1564.9,0.066434,0.52293,0.41091,226.32
6.2,140,35,8,600,150,15000,600,0,0,1,1,2010,0.059936,0.45723,0.44031,237.56
6.3,160,35,8,600,150,15000,600,0,0,1,1,2465.8,0.054025,0.42699,0.42828,248.81
6.4,180,35,8,600,150,15000,600,0,0,1,1,2931.1,0.048625,0.39782,0.41262,260.05
6.5,120,20,11,600,150,15000,600,0,0,1,1,571.13,0.075804,0.56441,0.44117,211.86
6.6,140,20,11,600,150,15000,600,0,0,1,1,803.05,0.069932,0.53885,0.46535,220.69
6.7,160,20,11,600,150,15000,600,0,0,1,1,1040.5,0.064513,0.51395,0.4721,229.53
6.8,180,20,11,600,150,15000,600,0,0,1,1,1282.9,0.059495,0.45503,0.45862,238.37
6.9,120,25,11,600,150,15000,600,0,0,1,1,891.13,0.067169,0.52632,0.41337,225.11
7,140,25,11,600,150,15000,600,0,0,1,1,1191.9,0.060714,0.49568,0.43416,236.16
7.1,160,25,11,600,150,15000,600,0,0,1,1,1499.9,0.054836,0.43124,0.43171,247.2
7.2,180,25,11,600,150,15000,600,0,0,1,1,1814.3,0.049461,0.40244,0.4163,258.25
7.3,120,30,11,600,150,15000,600,0,0,1,1,1222.9,0.059495,0.45503,0.41709,238.37
7.4,140,30,11,600,150,15000,600,0,0,1,1,1594.9,0.052629,0.41959,0.40995,251.62
7.5,160,30,11,600,150,15000,600,0,0,1,1,1975.7,0.046451,0.38564,0.39524,264.87
7.6,180,30,11,600,150,15000,600,0,0,1,1,2364.5,0.040861,0.35308,0.37723,278.13
7.7,120,35,11,600,150,15000,600,0,0,1,1,1564.9,0.052629,0.41959,0.38851,251.62
7.8,140,35,11,600,150,15000,600,0,0,1,1,2010,0.045481,0.38012,0.37846,267.08
7.9,160,35,11,600,150,15000,600,0,0,1,1,2465.8,0.039114,0.34253,0.36127,282.55
8,180,35,11,600,150,15000,600,0,0,1,1,2931.1,0.033409,0.3067,0.34113,298.01
8.1,120,20,14,600,150,15000,600,0,0,1,1,571.13,0.066434,0.52293,0.41091,226.32
8.2,140,20,14,600,150,15000,600,0,0,1,1,803.05,0.059936,0.45723,0.44031,237.56
8.3,160,20,14,600,150,15000,600,0,0,1,1,1040.5,0.054025,0.42699,0.42828,248.81
8.4,180,20,14,600,150,15000,600,0,0,1,1,1282.9,0.048625,0.39782,0.41262,260.05
8.5,120,25,14,600,150,15000,600,0,0,1,1,891.13,0.056912,0.44197,0.40652,243.18
8.6,140,25,14,600,150,15000,600,0,0,1,1,1191.9,0.04993,0.40501,0.39827,257.24
8.7,160,25,14,600,150,15000,600,0,0,1,1,1499.9,0.043672,0.36968,0.38261,271.3
8.8,180,25,14,600,150,15000,600,0,0,1,1,1814.3,0.038031,0.33589,0.36377,285.36
8.9,120,30,14,600,150,15000,600,0,0,1,1,1222.9,0.048625,0.39782,0.37109,260.05
9,140,30,14,600,150,15000,600,0,0,1,1,1594.9,0.041347,0.35599,0.35942,276.92
9.1,160,30,14,600,150,15000,600,0,0,1,1,1975.7,0.034905,0.31631,0.34086,293.79
9.2,180,30,14,600,150,15000,600,0,0,1,1,2364.5,0.029163,0.27861,0.31957,310.66
9.3,120,35,14,600,150,15000,600,0,0,1,1,1564.9,0.041347,0.35599,0.33798,276.92
9.4,140,35,14,600,150,15000,600,0,0,1,1,2010,0.033903,0.30989,0.3235,296.6
9.5,160,35,14,600,150,15000,600,0,0,1,1,2465.8,0.027385,0.26646,0.30264,316.28
9.6,180,35,14,600,150,15000,600,0,0,1,1,2931.1,0.021631,0.22544,0.27949,335.96
9.7,120,20,8,800,150,15000,600,0,0,1,1,568.67,0.083714,0.61489,0.46502,202.11
9.8,140,20,8,800,150,15000,600,0,0,1,1,800.59,0.078951,0.59574,0.49372,208.53
9.9,160,20,8,800,150,15000,600,0,0,1,1,1038.1,0.074473,0.57692,0.50469,214.96
10,180,20,8,800,150,15000,600,0,0,1,1,1280.5,0.070255,0.55845,0.50658,221.38
10.1,120,25,8,800,150,15000,600,0,0,1,1,888.67,0.076678,0.58629,0.44388,211.75
10.2,140,25,8,800,150,15000,600,0,0,1,1,1189.4,0.071286,0.56304,0.46974,219.78
10.3,160,25,8,800,150,15000,600,0,0,1,1,1497.4,0.066274,0.54032,0.47805,227.81
10.4,180,25,8,800,150,15000,600,0,0,1,1,1811.8,0.061604,0.51811,0.47746,235.84
10.5,120,30,8,800,150,15000,600,0,0,1,1,1220.5,0.070255,0.55845,0.42352,221.38
10.6,140,30,8,800,150,15000,600,0,0,1,1,1592.4,0.064367,0.53137,0.4468,231.02
10.7,160,30,8,800,150,15000,600,0,0,1,1,1973.3,0.058952,0.46436,0.44873,240.66
10.8,180,30,8,800,150,15000,600,0,0,1,1,2362.1,0.053953,0.43863,0.43567,250.3
10.9,120,35,8,800,150,15000,600,0,0,1,1,1562.4,0.064367,0.53137,0.40392,231.02
11,140,35,8,800,150,15000,600,0,0,1,1,2007.6,0.058091,0.46002,0.43281,242.27
11.1,160,35,8,800,150,15000,600,0,0,1,1,2463.3,0.052371,0.43023,0.42124,253.52
11.2,180,35,8,800,150,15000,600,0,0,1,1,2928.6,0.047138,0.4015,0.40601,264.76
11.3,120,20,11,800,150,15000,600,0,0,1,1,568.67,0.073395,0.57227,0.43361,216.57
11.4,140,20,11,800,150,15000,600,0,0,1,1,800.59,0.06774,0.54708,0.45814,225.4
11.5,160,20,11,800,150,15000,600,0,0,1,1,1038.1,0.062512,0.52251,0.46523,234.24
11.6,180,20,11,800,150,15000,600,0,0,1,1,1280.5,0.057665,0.45785,0.45115,243.07
11.7,120,25,11,800,150,15000,600,0,0,1,1,888.67,0.065076,0.53472,0.40633,229.82
11.8,140,25,11,800,150,15000,600,0,0,1,1,1189.4,0.058843,0.46382,0.43589,240.86
11.9,160,25,11,800,150,15000,600,0,0,1,1,1497.4,0.053157,0.43442,0.4246,251.91
12,180,25,11,800,150,15000,600,0,0,1,1,1811.8,0.047948,0.40605,0.40963,262.95
12.1,120,30,11,800,150,15000,600,0,0,1,1,1220.5,0.057665,0.45785,0.40962,243.07
12.2,140,30,11,800,150,15000,600,0,0,1,1,1592.4,0.05102,0.42295,0.40301,256.33
12.3,160,30,11,800,150,15000,600,0,0,1,1,1973.3,0.045028,0.38949,0.38881,269.58
12.4,180,30,11,800,150,15000,600,0,0,1,1,2362.1,0.039598,0.3574,0.37126,282.84
12.5,120,35,11,800,150,15000,600,0,0,1,1,1562.4,0.05102,0.42295,0.38157,256.33
12.6,140,35,11,800,150,15000,600,0,0,1,1,2007.6,0.044086,0.38405,0.37211,271.79
12.7,160,35,11,800,150,15000,600,0,0,1,1,2463.3,0.037899,0.347,0.35545,287.25
12.8,180,35,11,800,150,15000,600,0,0,1,1,2928.6,0.032345,0.31166,0.33579,302.72
12.9,120,20,14,800,150,15000,600,0,0,1,1,568.67,0.064367,0.53137,0.40392,231.02
13,140,20,14,800,150,15000,600,0,0,1,1,800.59,0.058091,0.46002,0.43281,242.27
13.1,160,20,14,800,150,15000,600,0,0,1,1,1038.1,0.052371,0.43023,0.42124,253.52
13.2,180,20,14,800,150,15000,600,0,0,1,1,1280.5,0.047138,0.4015,0.40601,264.76
13.3,120,25,14,800,150,15000,600,0,0,1,1,888.67,0.055166,0.44499,0.39925,247.89
13.4,140,25,14,800,150,15000,600,0,0,1,1,1189.4,0.048404,0.40858,0.39155,261.95
13.5,160,25,14,800,150,15000,600,0,0,1,1,1497.4,0.04233,0.37377,0.37641,276.01
13.6,180,25,14,800,150,15000,600,0,0,1,1,1811.8,0.036845,0.34045,0.35804,290.06
13.7,120,30,14,800,150,15000,600,0,0,1,1,1220.5,0.047138,0.4015,0.36448,264.76
13.8,140,30,14,800,150,15000,600,0,0,1,1,1592.4,0.040071,0.36027,0.35341,281.63
13.9,160,30,14,800,150,15000,600,0,0,1,1,1973.3,0.033803,0.32113,0.3354,298.5
14,180,30,14,800,150,15000,600,0,0,1,1,2362.1,0.028205,0.28393,0.31461,315.37
14.1,120,35,14,800,150,15000,600,0,0,1,1,1562.4,0.040071,0.36027,0.33197,281.63
14.2,140,35,14,800,150,15000,600,0,0,1,1,2007.6,0.032826,0.3148,0.31812,301.31
14.3,160,35,14,800,150,15000,600,0,0,1,1,2463.3,0.02647,0.27194,0.29783,320.99
14.4,180,35,14,800,150,15000,600,0,0,1,1,2928.6,0.020848,0.23143,0.27519,340.67
14.5,120,20,8,400,250,15000,600,0,0,1,1,374.1,0.088486,0.59571,0.47869,194.3
14.6,140,20,8,400,250,15000,600,0,0,1,1,606.02,0.083385,0.5761,0.50694,200.72
14.7,160,20,8,400,250,15000,600,0,0,1,1,843.49,0.078601,0.55684,0.51746,207.15
14.8,180,20,8,400,250,15000,600,0,0,1,1,1085.9,0.074104,0.53792,0.51891,213.57
14.9,120,25,8,400,250,15000,600,0,0,1,1,694.1,0.080955,0.56642,0.45687,203.93
15,140,25,8,400,250,15000,600,0,0,1,1,994.87,0.075203,0.54262,0.48218,211.97
15.1,160,25,8,400,250,15000,600,0,0,1,1,1302.8,0.06987,0.51936,0.48995,220
15.2,180,25,8,400,250,15000,600,0,0,1,1,1617.2,0.064913,0.49664,0.48884,228.03
15.3,120,30,8,400,250,15000,600,0,0,1,1,1025.9,0.074104,0.53792,0.43585,213.57
15.4,140,30,8,400,250,15000,600,0,0,1,1,1397.9,0.067844,0.51021,0.45849,223.21
15.5,160,30,8,400,250,15000,600,0,0,1,1,1778.7,0.062103,0.48326,0.46381,232.85
15.6,180,30,8,400,250,15000,600,0,0,1,1,2167.5,0.056818,0.42872,0.44766,242.49
15.7,120,35,8,400,250,15000,600,0,0,1,1,1367.9,0.067844,0.51021,0.41561,223.21
15.8,140,35,8,400,250,15000,600,0,0,1,1,1813,0.061192,0.47884,0.43584,234.46
15.9,160,35,8,400,250,15000,600,0,0,1,1,2268.8,0.055149,0.42011,0.43302,245.7
