design_id,capability,propulsion,fuel_mass,dfc,payload,speed,deltav,base_mass,mass_fraction,isp,dry_mass,wet_mass,cost,mau_1_1,fpn_1_1,mau_2_1,fpn_2_1,mau_3_1,fpn_3_1,mau_4_1,fpn_4_1,mau_5_1,fpn_5_1,mau_6_1,fpn_6_1,mau_7_1,fpn_7_1,mau_8_1,fpn_8_1,mau_1_2,fpn_1_2,mau_2_2,fpn_2_2,mau_3_2,fpn_3_2,mau_4_2,fpn_4_2,mau_5_2,fpn_5_2,mau_6_2,fpn_6_2,mau_7_2,fpn_7_2,mau_8_2,fpn_8_2,capability_name,propulsion_name
200,2,0,50000,1,3000,1,4604.3,0,0.12,300,13200,63200,2612,0.79913,15.681,0.87304,6.3194,0.41652,33.063,0.91228,6.3193,0.56804,14.791,0.47782,36.064,0.48609,16.306,0.80913,15.44,0.79913,18.311,0.87304,10.481,0.41652,38.084,0.91228,8.8237,0.56804,19.148,0.47782,38.777,0.48609,20.7,0.80913,16.016,High,Biprop
201,2,1,100,1,3000,1,66.175,0,0.13,450,6614.3,6714.3,1059.3,0.37646,13.896,0.73215,1.1821,NaN,NaN,0.84108,0.91179,0.42715,1.1498,0.23346,13.778,NaN,NaN,0.38646,13.821,0.3779,14.588,0.73263,1.2145,NaN,NaN,0.84132,0.88649,0.42763,1.2145,0.23423,14.588,NaN,NaN,0.3879,14.225,High,Cryo
202,2,1,300,1,3000,1,194.79,0,0.13,450,6642.9,6942.9,1065.9,0.38903,13.874,0.73634,1.0361,NaN,NaN,0.84317,0.96711,0.43134,1.0361,0.24019,13.874,NaN,NaN,0.39903,13.917,0.39325,14.704,0.73775,1.0157,NaN,NaN,0.84388,1.0022,0.43275,1.0902,0.24246,14.704,NaN,NaN,0.40325,14.338,High,Cryo
203,2,1,600,1,3000,1,379,0,0.13,450,6685.8,7285.8,1075.7,0.40702,14.018,0.74234,1.1522,NaN,NaN,0.84617,0.66545,0.43734,1.1522,0.24983,14.018,NaN,NaN,0.41702,13.819,0.41525,14.877,0.74508,1.1759,NaN,NaN,0.84754,0.81335,0.44008,1.2638,0.25424,14.877,NaN,NaN,0.42525,14.507,High,Cryo
204,2,1,1200,1,3000,1,719.48,0,0.13,450,6771.6,7971.6,1095.5,0.44027,14.307,0.75342,0.90487,NaN,NaN,0.85171,0.68221,0.44842,1.4139,0.26765,14.307,NaN,NaN,0.45027,14.079,0.45589,15.225,0.75863,1.105,NaN,NaN,0.85432,0.5393,0.45363,1.105,0.27601,15.225,NaN,NaN,0.46589,14.784,High,Cryo
205,2,1,3000,1,3000,1,1567.5,0,0.13,450,7029,10029,1154.6,0.5231,15.173,0.78103,0.46093,NaN,NaN,0.86552,0.21287,0.47603,1.7706,0.31202,15.173,NaN,NaN,0.5331,14.945,0.55712,15.192,0.79237,0.87249,NaN,NaN,0.87119,0.75389,0.48737,2.1467,0.33025,16.266,NaN,NaN,0.56712,15.543,High,Cryo
206,2,1,10000,1,3000,1,3567,0,0.13,450,8030,18030,1384.8,0.71841,11.392,0.84614,2.0304,NaN,NaN,0.89807,1.646,0.54114,2.6509,0.41665,18.54,NaN,NaN,0.72841,14.669,0.79179,8.4864,0.8706,0.82817,0.38717,18.653,0.91045,0.57374,0.5656,0.76947,0.45948,20.317,0.48119,8.6205,0.80179,10.128,High,Cryo
207,2,1,30000,1,3000,1,5834.6,0,0.13,450,10890,40890,2042.4,0.83604,7.3492,0.88535,4.265,0.56415,24.618,0.92151,2.2878,0.58035,6.4586,0.5701,26.046,0.51069,7.6419,0.84604,9.3962,0.87494,9.6443,0.89831,3.0623,0.71974,19.702,0.93123,2.5711,0.59331,8.9341,0.66734,22.003,0.53662,10.513,0.88494,8.4356,High,Cryo
208,2,1,50000,1,3000,1,6764.6,0,0.13,450,13750,63750,2700,0.86394,10.242,0.89465,7.6066,0.67576,24.424,0.92848,7.1939,0.58965,16.078,0.63985,26.331,0.52929,15.327,0.87394,8.9587,0.90904,6.97,0.90968,7.8283,0.85615,10.243,0.93976,6.0598,0.60468,20.288,0.75259,19.261,0.55936,13.412,0.91904,6.0963,High,Cryo
209,2,2,30,1,3000,0,132.58,25,0.3,3000,6637.4,6667.4,1062.3,0.28295,13.991,0.63432,1.708,NaN,NaN,0.54216,7.0746,0.37932,1.4835,0.18694,13.822,NaN,NaN,NaN,NaN,0.28295,14.794,0.63432,1.7079,NaN,NaN,0.54216,7.8326,0.37932,1.564,0.18694,14.625,NaN,NaN,NaN,NaN,High,Electric
210,2,2,100,1,3000,0,438.13,25,0.3,3000,6660.5,6760.5,1066.7,0.31279,14.056,0.64426,1.5477,NaN,NaN,0.54713,6.7389,0.38926,1.5477,0.20293,13.886,NaN,NaN,NaN,NaN,0.31283,14.857,0.64428,1.6275,NaN,NaN,0.54714,7.896,0.38928,1.6275,0.20294,14.689,NaN,NaN,NaN,NaN,High,Electric
211,2,2,300,1,3000,0,1282.8,25,0.3,3000,6726.5,7026.5,1079.2,0.3953,14.07,0.67177,1.7315,NaN,NaN,0.56088,6.9226,0.41677,1.5376,0.24712,14.07,NaN,NaN,NaN,NaN,0.3956,14.87,0.67187,1.8085,NaN,NaN,0.56093,7.9535,0.41687,1.6602,0.24729,14.87,NaN,NaN,NaN,NaN,High,Electric
212,2,2,600,1,3000,0,2477.1,25,0.3,3000,6825.5,7425.5,1098.1,0.51195,14.345,0.71065,2.007,NaN,NaN,0.58032,6.0029,0.45565,0.94323,0.30961,14.345,NaN,NaN,NaN,NaN,0.51307,15.141,0.71102,2.0801,NaN,NaN,0.58051,5.984,0.45602,1.0218,0.31022,15.141,NaN,NaN,NaN,NaN,High,Electric
213,2,2,1200,1,3000,0,4637.4,25,0.3,3000,7023.5,8223.5,1135.8,0.70012,10.275,0.77337,1.2194,NaN,NaN,0.61253,2.7633,0.51837,0.43102,0.4303,14.897,0.28675,9.7009,NaN,NaN,0.70134,10.136,0.77378,0.99922,NaN,NaN,0.61284,2.7326,0.51878,0.43449,0.43335,15.684,0.28756,10.1,NaN,NaN,High,Electric
214,2,2,3000,1,3000,0,9762.4,25,0.3,3000,7617.5,10618,1248.8,0.83372,5.1023,0.81791,0.48229,NaN,NaN,0.64,4.2118,0.56291,0.44809,0.76429,10.983,0.42324,5.3055,NaN,NaN,0.83669,4.9518,0.8189,0.62473,NaN,NaN,0.64,4.2529,0.5639,0.62473,0.77172,10.67,0.43117,5.5697,NaN,NaN,High,Electric
215,2,2,10000,1,3000,0,20486,25,0.3,3000,9927.5,19928,1688.4,0.87,2.1708,0.83,4.9996,NaN,NaN,0.64,10.642,0.575,2.1709,0.93,0.000058,0.68,0.0000772,NaN,NaN,0.87,1.9237,0.83,5.2495,NaN,NaN,0.64,10.59,0.575,1.9237,0.93,0.000058,0.68,1.1617,NaN,NaN,High,Electric
216,2,2,30000,1,3000,0,30430,25,0.3,3000,16528,46528,2944.4,0.87,9.5491,0.83,11.182,NaN,NaN,0.64,24.844,0.575,19.653,0.93,5.4284,0.68,9.5597,NaN,NaN,0.87,10.209,0.83,10.502,NaN,NaN,0.64,25.068,0.575,18.8,0.93,5.4285,0.68,9.9547,NaN,NaN,High,Electric
217,2,3,30,1,3000,1,57.113,1000,0.2,1500,7706.6,7736.6,1233.4,0.37558,16.324,0.73186,2.9221,NaN,NaN,0.84093,2.647,0.42686,3.4311,0.23299,16.324,NaN,NaN,0.38558,16.367,0.37592,16.186,0.73197,2.4846,NaN,NaN,0.84099,1.5751,0.42697,2.5726,0.23317,16.186,NaN,NaN,0.38592,15.785,High,Nuclear
218,2,3,100,1,3000,1,189.14,1000,0.2,1500,7722,7822,1236.5,0.38847,16.371,0.73616,2.9684,NaN,NaN,0.84308,2.47,0.43116,3.2578,0.2399,16.371,NaN,NaN,0.39847,16.143,0.38958,16.24,0.73653,2.5385,NaN,NaN,0.84326,1.5547,0.43153,2.6264,0.24049,16.24,NaN,NaN,0.39958,15.837,High,Nuclear
219,2,3,300,1,3000,1,557.17,1000,0.2,1500,7766,8066,1245.6,0.42442,16.503,0.74814,3.1006,NaN,NaN,0.84907,1.8673,0.44314,3.1006,0.25915,16.503,NaN,NaN,0.43442,16.275,0.42762,16.394,0.74921,2.2742,NaN,NaN,0.8496,1.7085,0.44421,2.2742,0.26087,16.394,NaN,NaN,0.43762,15.987,High,Nuclear
220,2,3,600,1,3000,1,1085.1,1000,0.2,1500,7832,8432,1259.1,0.47599,16.701,0.76533,2.1713,NaN,NaN,0.85766,1.2978,0.46033,3.299,0.28678,16.701,NaN,NaN,0.48599,16.474,0.48205,16.625,0.76735,1.9393,NaN,NaN,0.85868,1.5188,0.46235,2.505,0.29003,16.625,NaN,NaN,0.49205,15.893,High,Nuclear
221,2,3,1200,1,3000,1,2063.2,1000,0.2,1500,7964,9164,1286.2,0.57152,14.333,0.79717,2.1685,NaN,NaN,0.87359,0.5887,0.49217,3.0823,0.33796,17.098,NaN,NaN,0.58152,16.059,0.58247,15.053,0.80082,1.4483,NaN,NaN,0.87541,0.39681,0.49582,2.7575,0.34382,17.086,NaN,NaN,0.59247,15.383,High,Nuclear
222,2,3,3000,1,3000,1,4507.6,1000,0.2,1500,8360,11360,1367.6,0.79623,6.8401,0.87208,0.41729,0.40491,15.734,0.91156,0.28908,0.56708,0.3878,0.47057,18.288,0.48415,7.1126,0.80623,8.3667,0.80265,6.6398,0.87422,0.43393,0.43061,16.839,0.91316,0.30063,0.56922,0.40319,0.48663,18.471,0.48843,6.7447,0.81265,9.0418,High,Nuclear
223,2,3,10000,1,3000,1,10263,1000,0.2,1500,9900,19900,1684,0.94184,1.3362,0.92061,0.42433,0.92368,2.135,0.94,0.0000921,0.61561,1.216,0.83459,9.2723,0.6449,2.1904,0.95184,1.1688,0.94735,1.3658,0.92245,0.43366,0.93469,2.0898,0.94,0.0000921,0.61745,0.89756,0.84836,7.7777,0.65959,2.1615,0.95735,1.1946,High,Nuclear
224,2,3,30000,1,3000,1,16622,1000,0.2,1500,14300,44300,2588,0.97,5.23E-05,0.93,5.4965,0.98,0.000061,0.94,5.9683,0.625,14.44,0.98,0.0000663,0.85297,0.78375,0.98,0.000061,0.97,0.0000523,0.93,5.6152,0.98,0.000061,0.94,6.0355,0.625,16.282,0.98,0.0000663,0.85547,0.79008,0.98,0.000061,High,Nuclear
225,3,0,100,1,5000,1,26.575,0,0.12,300,11013,11113,1763.1,0.4026,24.074,0.80087,7.5644,NaN,NaN,0.90043,3.2637,0.80087,1.5351,0.25139,24.074,NaN,NaN,0.4026,23.846,0.4026,25.472,0.80087,8.4224,NaN,NaN,0.90043,3.7439,0.80087,1.8735,0.25139,25.472,NaN,NaN,0.4026,24.527,Extreme,Biprop
226,3,0,300,1,5000,1,78.828,0,0.12,300,11040,11340,1769.3,0.4077,24.165,0.80257,7.6554,NaN,NaN,0.90128,3.3548,0.80257,1.4005,0.25412,24.165,NaN,NaN,0.4077,23.937,0.4077,25.582,0.80257,8.2371,NaN,NaN,0.90128,3.8542,0.80257,1.7235,0.25412,25.582,NaN,NaN,0.4077,24.635,Extreme,Biprop
227,3,0,600,1,5000,1,155.06,0,0.12,300,11079,11679,1778.7,0.41514,24.301,0.80505,7.717,NaN,NaN,0.90252,3.4913,0.80505,1.5371,0.25811,24.301,NaN,NaN,0.41514,24.074,0.41514,25.747,0.80505,7.9668,NaN,NaN,0.90252,3.7698,0.80505,1.7311,0.25811,25.747,NaN,NaN,0.41514,24.796,Extreme,Biprop
228,3,0,1200,1,5000,1,300.3,0,0.12,300,11158,12358,1797.3,0.42933,24.574,0.80978,7.202,NaN,NaN,0.90489,3.5319,0.80978,1.8102,0.26571,24.574,NaN,NaN,0.42933,24.347,0.42933,26.078,0.80978,7.4519,NaN,NaN,0.90489,3.532,0.80978,2.062,0.26571,26.078,NaN,NaN,0.42933,25.119,Extreme,Biprop
229,3,0,3000,1,5000,1,687.04,0,0.12,300,11396,14396,1853.4,0.46711,25.139,0.82237,5.8307,NaN,NaN,0.91118,2.8987,0.82237,2.6296,0.28595,25.394,NaN,NaN,0.46711,24.355,0.46711,25.746,0.82237,6.0805,NaN,NaN,0.91118,2.8987,0.82237,3.0547,0.28595,27.071,NaN,NaN,0.46711,25.761,Extreme,Biprop
230,3,0,10000,1,5000,1,1747.1,0,0.12,300,12320,22320,2071.2,0.57065,24.71,0.85688,7.3648,NaN,NaN,0.92844,2.676,0.85688,4.2889,0.34142,28.58,NaN,NaN,0.57065,24.71,0.57065,25.078,0.85688,7.5741,NaN,NaN,0.92844,2.852,0.85688,5.397,0.34142,30.931,NaN,NaN,0.57065,26.94,Extreme,Biprop
231,3,0,30000,1,5000,1,3235.2,0,0.12,300,14960,44960,2693.6,0.71599,18.75,0.90533,7.513,NaN,NaN,0.95267,4.7615,0.90533,7.513,0.41928,37.43,NaN,NaN,0.71599,22.401,0.71599,20.234,0.90533,8.3018,NaN,NaN,0.95267,4.7615,0.90533,7.7138,0.41928,41.709,NaN,NaN,0.71599,22.401,Extreme,Biprop
232,3,0,50000,1,5000,1,3956.4,0,0.12,300,17600,67600,3316,0.78644,19.102,0.92881,5.6258,NaN,NaN,0.96441,3.5804,0.92881,5.2273,0.45702,41.222,NaN,NaN,0.78644,17.709,0.78644,19.762,0.92881,6.9727,NaN,NaN,0.96441,3.5805,0.92881,6.9727,0.45702,44.837,NaN,NaN,0.78644,18.285,Extreme,Biprop
233,3,1,100,1,5000,1,39.858,0,0.13,450,11014,11114,1763.3,0.40389,24.076,0.8013,7.5669,NaN,NaN,0.90065,3.2663,0.8013,1.4914,0.25209,24.076,NaN,NaN,0.40389,23.849,0.40476,25.474,0.80159,8.3439,NaN,NaN,0.90079,3.7466,0.80159,1.8228,0.25255,25.474,NaN,NaN,0.40476,24.53,Extreme,Cryo
234,3,1,300,1,5000,1,118.21,0,0.13,450,11043,11343,1769.9,0.41155,24.172,0.80385,7.6632,NaN,NaN,0.90192,3.3625,0.80385,1.4082,0.25619,24.172,NaN,NaN,0.41155,23.945,0.41411,25.59,0.8047,8.0043,NaN,NaN,0.90235,3.7871,0.8047,1.5738,0.25756,25.59,NaN,NaN,0.41411,24.643,Extreme,Cryo
235,3,1,600,1,5000,1,232.45,0,0.13,450,11086,11686,1779.7,0.4227,24.317,0.80757,7.4425,NaN,NaN,0.90378,3.5068,0.80757,1.5525,0.26216,24.317,NaN,NaN,0.4227,24.089,0.42775,25.764,0.80925,7.5093,NaN,NaN,0.90462,3.5585,0.80925,1.7475,0.26487,25.764,NaN,NaN,0.42775,24.812,Extreme,Cryo
236,3,1,1200,1,5000,1,449.95,0,0.13,450,11172,12372,1799.5,0.44395,24.605,0.81465,6.6714,NaN,NaN,0.90732,3.2869,0.81465,1.8411,0.27354,24.605,NaN,NaN,0.44395,24.378,0.45371,25.858,0.8179,6.5667,NaN,NaN,0.90895,3.1232,0.8179,2.0946,0.27878,26.111,NaN,NaN,0.45371,25.151,Extreme,Cryo
237,3,1,3000,1,5000,1,1027.9,0,0.13,450,11429,14429,1858.6,0.5004,22.706,0.83347,4.6611,NaN,NaN,0.91673,2.3405,0.83347,2.1455,0.30379,25.471,NaN,NaN,0.5004,24.432,0.52271,24.831,0.8409,5.4249,NaN,NaN,0.92045,1.9664,0.8409,1.6181,0.31574,27.152,NaN,NaN,0.52271,25.208,Extreme,Cryo
238,3,1,10000,1,5000,1,2603.2,0,0.13,450,12430,22430,2088.8,0.65426,20.079,0.88475,4.3295,NaN,NaN,0.94238,1.2742,0.88475,3.398,0.38621,28.838,NaN,NaN,0.65426,22.574,0.71077,19.349,0.90359,2.4877,NaN,NaN,0.95179,0.50292,0.90359,1.5813,0.41648,30.951,NaN,NaN,0.71077,19.23,Extreme,Cryo
239,3,1,30000,1,5000,1,4788.8,0,0.13,450,15290,45290,2746.4,0.83466,13.589,0.94489,3.8752,0.45865,35.056,0.97367,2.649,0.94489,3.6007,0.51166,32.89,0.60978,8.5546,0.83466,12.886,0.86659,10.599,0.95553,2.8349,0.58635,30.394,0.98165,1.8462,0.95553,2.6341,0.59147,30.947,0.63106,11.519,0.86659,10.27,Extreme,Cryo
240,3,1,50000,1,5000,1,5834.6,0,0.13,450,18150,68150,3404,0.86604,11.886,0.95535,4.863,0.58415,33.585,0.98151,1.86,0.95535,4.5186,0.5901,35.817,0.63069,15.576,0.86604,11.396,0.90494,8.3335,0.96831,3.451,0.73974,21.884,0.99123,0.8818,0.96831,3.2066,0.68734,26.346,0.65662,18.518,0.90494,8.1333,Extreme,Cryo
241,3,2,30,1,5000,0,79.802,25,0.3,3000,11037,11067,1766.3,0.30779,24.12,0.7026,9.1906,NaN,NaN,0.6013,11.782,0.7526,2.4196,0.20418,24.12,NaN,NaN,NaN,NaN,0.3078,25.512,0.7026,10.341,NaN,NaN,0.6013,12.45,0.7526,2.5537,0.20418,25.512,NaN,NaN,NaN,NaN,Extreme,Electric
242,3,2,100,1,5000,0,264.62,25,0.3,3000,11060,11160,1770.7,0.32585,24.184,0.70862,9.2549,NaN,NaN,0.60431,11.846,0.75862,2.4839,0.21385,24.184,NaN,NaN,NaN,NaN,0.32586,25.575,0.70862,10.181,NaN,NaN,0.60431,12.514,0.75862,2.6172,0.21385,25.575,NaN,NaN,NaN,NaN,Extreme,Electric
243,3,2,300,1,5000,0,782.2,25,0.3,3000,11126,11426,1783.2,0.3764,24.368,0.72547,9.4387,NaN,NaN,0.61273,12.03,0.77547,2.627,0.24093,24.368,NaN,NaN,NaN,NaN,0.37651,25.756,0.7255,10.118,NaN,NaN,0.61275,12.695,0.7755,2.6573,0.24099,25.756,NaN,NaN,NaN,NaN,Extreme,Electric
244,3,2,600,1,5000,0,1530.9,25,0.3,3000,11226,11826,1802.1,0.44953,24.389,0.74984,8.1344,NaN,NaN,0.62492,12.305,0.79984,1.8794,0.2801,24.644,NaN,NaN,NaN,NaN,0.44996,25.775,0.74999,9.3383,NaN,NaN,0.62499,12.966,0.79999,2.0115,0.28033,26.028,NaN,NaN,NaN,NaN,Extreme,Electric
245,3,2,1200,1,5000,0,2936.7,25,0.3,3000,11424,12624,1839.8,0.58684,21.324,0.79561,8.6856,NaN,NaN,0.64781,12.856,0.84561,0.91646,0.35366,25.195,NaN,NaN,NaN,NaN,0.58843,23.046,0.79614,8.9368,NaN,NaN,0.64807,13.51,0.84614,1.0364,0.35451,26.571,NaN,NaN,NaN,NaN,Extreme,Electric
246,3,2,3000,1,5000,0,6551.9,25,0.3,3000,12018,15018,1952.8,0.78756,10.569,0.86252,6.0385,NaN,NaN,0.68689,14.51,0.91252,0.58846,0.59389,23.463,0.44504,12.627,NaN,NaN,0.79001,10.289,0.86334,6.4728,NaN,NaN,0.6875,15.139,0.91334,0.59495,0.60001,24.871,0.44667,13.114,NaN,NaN,Extreme,Electric
247,3,2,10000,1,5000,0,15565,25,0.3,3000,14328,24328,2392.4,0.9,6.1194,0.9,3.1071,NaN,NaN,0.7,17.775,0.95,3.0834,0.95,0.1814,0.76452,0.9636,NaN,NaN,0.9,6.7788,0.9,2.9133,NaN,NaN,0.7,17.974,0.95,2.9133,0.95,0.0000828,0.76835,0.98384,NaN,NaN,Extreme,Electric
248,3,2,30000,1,5000,0,26147,25,0.3,3000,20928,50928,3648.4,0.9,9.1923,0.9,9.1923,NaN,NaN,0.7,25.655,0.95,5.0595,0.95,5.2898,0.8,9.5585,NaN,NaN,0.9,8.0032,0.9,8.8824,NaN,NaN,0.7,25.831,0.95,5.0596,0.95,5.4285,0.8,6.7293,NaN,NaN,Extreme,Electric
249,3,3,30,1,5000,1,36.381,1000,0.2,1500,12107,12137,1937.4,0.40355,26.622,0.80118,8.1378,NaN,NaN,0.90059,3.9642,0.80118,3.8583,0.2519,26.622,NaN,NaN,0.40355,26.395,0.40369,27.072,0.80123,8.3828,NaN,NaN,0.90061,3.9619,0.80123,3.0562,0.25198,27.072,NaN,NaN,0.40369,26.089,Extreme,Nuclear
250,3,3,100,1,5000,1,120.77,1000,0.2,1500,12122,12222,1940.5,0.4118,26.669,0.80393,7.8385,NaN,NaN,0.90197,3.8259,0.80393,3.9046,0.25632,26.669,NaN,NaN,0.4118,26.441,0.41224,27.126,0.80408,8.0723,NaN,NaN,0.90204,3.8186,0.80408,3.1101,0.25656,27.126,NaN,NaN,0.41224,26.142,Extreme,Nuclear
251,3,3,300,1,5000,1,358.09,1000,0.2,1500,12166,12466,1949.6,0.43498,26.546,0.81166,6.9971,NaN,NaN,0.90583,3.4373,0.81166,4.0368,0.26874,26.801,NaN,NaN,0.43498,25.762,0.43627,27.027,0.81209,7.1999,NaN,NaN,0.90605,3.4156,0.81209,3.2639,0.26943,27.28,NaN,NaN,0.43627,26.292,Extreme,Nuclear
252,3,3,600,1,5000,1,703.93,1000,0.2,1500,12232,12832,1963.1,0.46876,25.294,0.82292,6.1895,NaN,NaN,0.91146,2.871,0.82292,3.2129,0.28683,26.999,NaN,NaN,0.46876,25.961,0.47126,26.186,0.82375,5.9298,NaN,NaN,0.91188,2.829,0.82375,3.1869,0.28817,27.511,NaN,NaN,0.47126,25.557,Extreme,Nuclear
253,3,3,1200,1,5000,1,1361.7,1000,0.2,1500,12364,13564,1990.2,0.533,23.525,0.84433,6.5861,NaN,NaN,0.92217,1.7939,0.84433,3.1047,0.32125,27.396,NaN,NaN,0.533,24.631,0.53768,24.643,0.84589,6.2448,NaN,NaN,0.92295,1.7155,0.84589,2.438,0.32376,27.972,NaN,NaN,0.53768,25.87,Extreme,Nuclear
254,3,3,3000,1,5000,1,3104,1000,0.2,1500,12760,15760,2071.6,0.70319,17.138,0.90106,2.5535,NaN,NaN,0.95053,0.45399,0.90106,1.7478,0.41242,28.332,NaN,NaN,0.70319,18.671,0.71291,17.526,0.9043,2.4096,NaN,NaN,0.95215,0.46687,0.9043,1.5088,0.41763,29.104,NaN,NaN,0.71291,19.015,Extreme,Nuclear
255,3,3,10000,1,5000,1,7794.2,1000,0.2,1500,14300,24300,2388,0.92483,3.2811,0.97494,0.60212,0.8193,12.573,0.99621,0.38161,0.97494,0.55947,0.73706,19.861,0.66988,3.103,0.92483,3.87,0.93055,3.2859,0.97685,0.51296,0.8422,11.638,0.99764,0.23766,0.97685,0.47663,0.75137,18.308,0.6737,3.3552,0.93055,3.8741,Extreme,Nuclear
256,3,3,30000,1,5000,1,14070,1000,0.2,1500,18700,48700,3292,1,5.00E-05,1,0.00005,1,0.00005,1,0.00005,1,0.00005,0.97675,2.3851,0.92281,3.5749,1,0.00005,1,0.00005,1,0.00005,1,0.00005,1,0.00005,1,0.00005,0.98217,1.9358,0.93147,3.0375,1,0.00005,Extreme,Nuclear
257,0,0,30,2,300,1,119.32,0,0.12,300,724.32,754.32,116.19,0.20165,0.28185,0.17388,0.28185,NaN,NaN,0.30194,0.25267,0.053885,0.28185,0.11624,0.28185,NaN,NaN,0.29165,0.28185,0.20165,0.29795,0.17388,0.29795,NaN,NaN,0.30194,0.26222,0.053885,0.29795,0.11624,0.29795,NaN,NaN,0.29165,0.2908,Low,Biprop
258,0,0,100,2,300,1,375.32,0,0.12,300,734.4,834.4,118.5,0.22666,0.28648,0.18222,0.28417,NaN,NaN,0.30611,0.28417,0.06222,0.28417,0.12964,0.28648,NaN,NaN,0.31666,0.28648,0.22666,0.30291,0.18222,0.30042,NaN,NaN,0.30611,0.30042,0.06222,0.30042,0.12964,0.30291,NaN,NaN,0.31666,0.29564,Low,Biprop
259,0,0,300,2,300,1,974.66,0,0.12,300,763.2,1063.2,125.11,0.2852,0.29773,0.20173,0.29773,NaN,NaN,0.31587,0.29072,0.081733,0.29773,0.161,0.29773,NaN,NaN,0.3752,0.29773,0.2852,0.32507,0.20173,0.32507,NaN,NaN,0.31587,0.30733,0.081733,0.32507,0.161,0.32507,NaN,NaN,0.3752,0.30717,Low,Biprop
260,0,0,600,2,300,1,1635.3,0,0.12,300,806.4,1406.4,135.02,0.34972,0.43569,0.22324,0.31457,NaN,NaN,0.32662,0.31457,0.10324,0.42751,0.19557,0.42751,NaN,NaN,0.43972,0.43569,0.34972,0.49947,0.22324,0.4817,NaN,NaN,0.32662,0.4817,0.10324,0.49947,0.19557,0.49947,NaN,NaN,0.43972,0.47013,Low,Biprop
261,0,0,1200,2,300,1,2504.6,0,0.12,300,892.8,2092.8,154.85,0.43463,0.71748,0.25154,0.59052,NaN,NaN,0.34077,0.47644,0.13154,0.59052,0.24105,0.71748,NaN,NaN,0.52463,0.59052,0.43463,0.84817,0.25154,0.67948,NaN,NaN,0.34077,0.66645,0.13154,0.67948,0.24105,0.84817,NaN,NaN,0.52463,0.65045,Low,Biprop
262,0,0,3000,2,300,1,3769.3,0,0.12,300,1152,4152,214.32,0.55817,1.4178,0.29272,1.1902,NaN,NaN,0.36136,0.69247,0.17272,1.4178,0.30723,1.4178,NaN,NaN,0.64817,1.1902,0.55817,1.7256,0.29272,1.3847,NaN,NaN,0.36136,1.3847,0.17272,1.7256,0.30723,1.7256,NaN,NaN,0.64817,1.3514,Low,Biprop
263,0,0,10000,2,300,1,5080.4,0,0.12,300,2160,12160,445.6,0.63341,4.5464,0.3178,2.0362,0.35365,3.8134,0.37585,1.8245,0.1978,2.0362,0.39353,4.8009,NaN,NaN,0.72341,3.1992,0.63341,5.541,0.3178,3.7608,0.35365,4.3894,0.37585,2.6294,0.1978,3.5917,0.39353,5.7941,NaN,NaN,0.72341,4.3619,Low,Biprop
264,0,0,30000,2,300,1,5700.9,0,0.12,300,5040,35040,1106.4,0.65203,10.597,0.32401,11.491,0.42811,11.861,0.38051,11.491,0.20401,7.3199,0.44007,14.467,NaN,NaN,0.74203,10.597,0.65203,14.089,0.32401,14.217,0.42811,15.806,0.38051,14.253,0.20401,10.625,0.44007,17.418,NaN,NaN,0.74203,13.751,Low,Biprop
265,0,1,30,2,300,1,178.89,0,0.13,450,724.68,754.68,116.25,0.20747,0.28269,0.17582,0.2535,NaN,NaN,0.30291,0.2535,0.055824,0.2535,0.11936,0.2535,NaN,NaN,0.29747,0.28269,0.21136,0.29884,0.17712,0.26308,NaN,NaN,0.30356,0.26308,0.057118,0.26308,0.12144,0.26308,NaN,NaN,0.30136,0.29166,Low,Cryo
266,0,1,100,2,300,1,562.11,0,0.13,450,735.6,835.6,118.7,0.2449,0.287,0.1883,0.287,NaN,NaN,0.30915,0.20393,0.068301,0.287,0.13941,0.287,NaN,NaN,0.3349,0.287,0.25711,0.30339,0.19237,0.30339,NaN,NaN,0.31118,0.20878,0.072368,0.30339,0.14595,0.30339,NaN,NaN,0.34711,0.2961,Low,Cryo
267,0,1,300,2,300,1,1456.2,0,0.13,450,766.8,1066.8,125.69,0.33223,0.29912,0.21741,0.29912,NaN,NaN,0.3237,0.29912,0.09741,0.29912,0.18619,0.29912,NaN,NaN,0.42223,0.29912,0.36383,0.33398,0.22794,0.31623,NaN,NaN,0.32897,0.31623,0.10794,0.33398,0.20313,0.33398,NaN,NaN,0.45383,0.30864,Low,Cryo
268,0,1,600,2,300,1,2436.2,0,0.13,450,813.6,1413.6,136.18,0.42795,0.44435,0.24932,0.31741,NaN,NaN,0.33966,0.31741,0.12932,0.44435,0.23748,0.44435,NaN,NaN,0.51795,0.31741,0.48083,0.51731,0.26694,0.33551,NaN,NaN,0.34847,0.33551,0.14694,0.34856,0.2658,0.51731,NaN,NaN,0.57083,0.32746,Low,Cryo
269,0,1,1200,2,300,1,3716.5,0,0.13,450,907.2,2107.2,157.15,0.55301,0.58153,0.291,0.35389,NaN,NaN,0.3605,0.35389,0.171,0.58153,0.30447,0.58153,NaN,NaN,0.64301,0.35389,0.61727,0.71511,0.31242,0.37411,0.28909,0.36741,0.37182,0.37411,0.19242,0.46209,0.35318,0.71511,NaN,NaN,0.70727,0.36513,Low,Cryo
