design_id,capability,propulsion,fuel_mass,dfc,payload,speed,deltav,base_mass,mass_fraction,isp,dry_mass,wet_mass,cost,mau_1_1,fpn_1_1,mau_2_1,fpn_2_1,mau_3_1,fpn_3_1,mau_4_1,fpn_4_1,mau_5_1,fpn_5_1,mau_6_1,fpn_6_1,mau_7_1,fpn_7_1,mau_8_1,fpn_8_1,mau_1_2,fpn_1_2,mau_2_2,fpn_2_2,mau_3_2,fpn_3_2,mau_4_2,fpn_4_2,mau_5_2,fpn_5_2,mau_6_2,fpn_6_2,mau_7_2,fpn_7_2,mau_8_2,fpn_8_2,capability_name,propulsion_name
150,0,2,3000,1,300,0,30149,25,0.3,3000,1677.5,4677.5,298.4,0.69,9.00E-05,0.27,2.4201,NaN,NaN,0.1,2.9479,0.2,0.85699,0.81,0.00009,NaN,NaN,NaN,NaN,0.69,1.2928,0.27,2.2766,NaN,NaN,0.1,2.9168,0.2,1.2928,0.81,0.000089,NaN,NaN,NaN,NaN,Low,Electric
151,0,2,10000,1,300,0,36897,25,0.3,3000,3987.5,13988,738,0.69,5.2076,0.27,6.3676,NaN,NaN,0.1,9.3784,0.2,5.0596,0.81,3.5107,NaN,NaN,NaN,NaN,0.69,5.7045,0.27,7.63,NaN,NaN,0.1,9.254,0.2,5.0596,0.81,3.8493,NaN,NaN,NaN,NaN,Low,Electric
152,0,2,30000,1,300,0,39507,25,0.3,3000,10588,40588,1994,0.69,16.003,0.27,23.975,NaN,NaN,0.1,26.983,0.2,15.113,0.81,11.942,NaN,NaN,NaN,NaN,0.69,17.5,0.27,23.584,NaN,NaN,0.1,26.72,0.2,14,0.81,11.943,NaN,NaN,NaN,NaN,Low,Electric
153,0,3,30,1,300,1,247.54,1000,0.2,1500,1766.6,1796.6,282.96,0.21418,2.6898,0.17806,2.6067,NaN,NaN,0.30403,2.4786,0.058059,2.6067,0.12295,2.6067,NaN,NaN,0.30418,2.6898,0.22211,1.7498,0.1807,1.7225,NaN,NaN,0.30535,1.6405,0.060703,1.6583,0.1272,1.7498,NaN,NaN,0.31211,1.7078,Low,Nuclear
154,0,3,100,1,300,1,802.6,1000,0.2,1500,1782,1882,286.12,0.26839,2.653,0.19613,2.6459,NaN,NaN,0.31307,2.5108,0.076131,2.6459,0.152,2.6459,NaN,NaN,0.35839,2.653,0.29319,1.7121,0.2044,1.6944,NaN,NaN,0.3172,1.6674,0.084397,1.7121,0.16528,1.7121,NaN,NaN,0.38319,1.6537,Low,Nuclear
155,0,3,300,1,300,1,2236.1,1000,0.2,1500,1826,2126,295.16,0.40841,2.77,0.2428,2.3727,NaN,NaN,0.3364,2.3727,0.1228,2.6003,0.227,2.77,NaN,NaN,0.49841,2.643,0.47133,1.866,0.26378,1.6842,NaN,NaN,0.34689,1.3563,0.14378,1.6973,0.26071,1.866,NaN,NaN,0.56133,1.6438,Low,Nuclear
156,0,3,600,1,300,1,4049.1,1000,0.2,1500,1892,2492,308.72,0.5855,2.7987,0.30183,1.7601,NaN,NaN,0.36592,1.7601,0.18183,1.8384,0.32187,2.7987,NaN,NaN,0.6755,1.7601,0.63353,1.9281,0.31784,0.60324,0.35412,0.5925,0.37588,0.60324,0.19784,0.60324,0.39382,1.9281,NaN,NaN,0.72353,0.58876,Low,Nuclear
157,0,3,1200,1,300,1,6843.5,1000,0.2,1500,2024,3224,335.84,0.68631,0.43065,0.33544,0.43065,0.56523,0.4365,0.38908,0.40532,0.21544,0.43065,0.52577,3.1954,NaN,NaN,0.77631,0.43065,0.7297,0.35629,0.3499,0.35629,0.73878,0.34992,0.39992,0.0077133,0.2299,0.34406,0.63424,2.3896,NaN,NaN,0.8197,0.34773,Low,Nuclear
158,0,3,3000,1,300,1,11853,1000,0.2,1500,2420,5420,417.2,0.78762,0.27255,0.36921,1.4091,0.85523,0.47668,0.4,1.4091,0.24921,0.34527,0.77904,3.3611,NaN,NaN,0.87762,0.23838,0.79,0.0000622,0.37,0.60969,0.86,0.0000515,0.4,0.60969,0.25,0.0000622,0.82396,0.44541,NaN,NaN,0.88,0.0000607,Low,Nuclear
159,0,3,10000,1,300,1,18521,1000,0.2,1500,3960,13960,733.6,0.79,1.8665,0.37,6.0374,0.86,0.0000617,0.4,6.0374,0.25,2.5298,0.86,1.0857,NaN,NaN,0.88,0.98952,0.79,2.3663,0.37,5.9943,0.86,0.0000661,0.4,5.9943,0.25,2.5298,0.86,1.0857,NaN,NaN,0.88,2.3069,Low,Nuclear
160,0,3,30000,1,300,1,22396,1000,0.2,1500,8360,38360,1637.6,0.79,10.289,0.37,18.197,0.86,6,0.4,17.993,0.25,9.8992,0.86,6.5141,NaN,NaN,0.88,6.0001,0.79,10.29,0.37,19.755,0.86,6,0.4,19.755,0.25,11.482,0.86,6.5142,NaN,NaN,0.88,6.0001,Low,Nuclear
161,1,0,30,1,1000,1,39.749,0,0.12,300,2204,2234,352.93,0.28388,3.6233,0.45129,0.43671,NaN,NaN,0.54065,0.35367,0.12629,3.4454,0.17208,3.6151,NaN,NaN,0.34388,3.6303,0.28388,3.829,0.45129,0.45676,NaN,NaN,0.54065,0.36287,0.12629,3.6603,0.17208,3.829,NaN,NaN,0.34388,3.727,Medium,Biprop
162,1,0,100,1,1000,1,129.93,0,0.12,300,2213.2,2313.2,355.11,0.29269,3.6552,0.45423,0.3855,NaN,NaN,0.54212,0.3855,0.12923,3.4773,0.1768,3.647,NaN,NaN,0.35269,3.6622,0.29269,3.8676,0.45423,0.46591,NaN,NaN,0.54212,0.39349,0.12923,3.699,0.1768,3.8676,NaN,NaN,0.35269,3.7647,Medium,Biprop
163,1,0,300,1,1000,1,369.59,0,0.12,300,2239.6,2539.6,361.34,0.3161,3.7462,0.46203,0.46952,NaN,NaN,0.54602,0.38605,0.13703,3.5683,0.18934,3.738,NaN,NaN,0.3761,3.7462,0.3161,3.9779,0.46203,0.49632,NaN,NaN,0.54602,0.49632,0.13703,3.8092,0.18934,3.9779,NaN,NaN,0.3761,3.8651,Medium,Biprop
164,1,0,600,1,1000,1,687.04,0,0.12,300,2279.2,2879.2,370.67,0.34711,3.8746,0.47237,0.47094,NaN,NaN,0.55118,0.47094,0.14737,3.7049,0.20595,3.8746,NaN,NaN,0.40711,3.8692,0.34711,4.1434,0.47237,0.51089,NaN,NaN,0.55118,0.49785,0.14737,3.9747,0.20595,4.1434,NaN,NaN,0.40711,4.0265,Medium,Biprop
165,1,0,1200,1,1000,1,1209.3,0,0.12,300,2358.4,3558.4,389.34,0.39812,4.1477,0.48937,0.47374,NaN,NaN,0.55969,0.47374,0.16437,3.6052,0.23328,4.1477,NaN,NaN,0.45812,4.0208,0.39812,4.4743,0.48937,0.58874,NaN,NaN,0.55969,0.50077,0.16437,3.6052,0.23328,4.4743,NaN,NaN,0.45812,4.1895,Medium,Biprop
